0,1,2
0,a highway bridge in front of a mountain.,0.8534954190254211
1,a woman is looking down at her hair.,0.9477902054786682
10,a couple of wooden shelves with baskets in a bathroom.,0.9309741258621216
100,a little girl eating a slice of pizza.,0.9564738869667053
101,a woman holding two tennis rackets in an office.,0.9202150106430054
102,a slice of pizza on a wooden cutting board.,0.9640806317329407
103,a brown couch with pillows and a table.,0.9738658666610718
104,a close up of a woman with brown eyes.,0.936397910118103
105,a wooden table and chairs in a living room.,0.9648516178131104
106,a couple of men sitting at a desk using a computer.,0.897379994392395
107,a view of a mountain and the ocean from a boat.,0.942585825920105
108,a gray sky with a tree in the foreground and a tree.,0.859844982624054
109,a man holding a little girl on a swing.,0.9930307269096375
11,a man wearing glasses and a black shirt and a tie.,0.9717302918434143
110,a couple of kites flying in the blue sky.,0.9963274598121643
111,a clock on the side of a street.,0.9553818702697754
112,a baseball player swinging a bat on a field.,0.9998806118965149
113,a baseball player holding a bat on a field.,0.9999117255210876
114,a baseball player holding a bat on a field.,0.9970797300338745
115,a young boy holding a baseball bat in a field.,0.9302794337272644
116,a large crowd of people in a stadium.,0.9343100190162659
117,a man swinging a baseball bat at a ball.,0.9391300082206726
118,a person is holding a pizza on a pan.,0.9130229949951172
119,a group of people standing on a tennis court.,0.9993624091148376
12,a black and white photo of two men on a motorcycle.,0.928878903388977
120,a person standing on a tennis court with a red shirt.,0.9396592378616333
121,a couple of people sitting on the ground.,0.992956817150116
122,a couple of cups sitting on top of a table.,0.9541332125663757
123,a man in a costume talking on a cell phone.,0.8993270397186279
124,a building with a clock tower on top of it.,0.9996498823165894
125,a woman brushing a cat's teeth with a toothbrush.,0.9488273859024048
126,a large building with a clock tower on top of it.,0.9986868500709534
127,a group of stuffed animals sitting on a bed.,0.9157591462135315
128,a building with a clock tower on top of it.,0.95826256275177
129,a close up of a white flower on a plant.,0.8981900811195374
13,a row of motorcycles parked on the side of a street.,0.9928950667381287
130,a bunch of purple flowers in a blue vase.,0.9984509348869324
131,a man holding a large pair of scissors.,0.9947009682655334
