0,1
0,a man riding a motorcycle on a dirt road
1,a young woman eating food at a table
2,a man riding a bike next to a train
3,a kitchen with a sink and a stove and a window
4,a group of wooden utensils on a wooden table
5,a table with lots of wooden utensils on it
6,a bathroom with a shower and a toilet and a sink
7,a bathroom with a shower and a toilet and a sink
8,a group of people riding bikes down a street
9,a bathroom with a sink and a toilet and a mirror
10,a bathroom with a sink and a toilet and a mirror
11,a man wearing a black shirt and a tie
12,two men sitting on a motorcycle on the road
13,a row of motorcycles parked next to a building
14,a living room with a tv on a dresser and a chair
15,a painting of a table with a candle and oranges
16,a bunch of bananas sitting on top of each other
17,a motorcycle parked in a room with wine bottles
18,a man walking towards an airplane at an airport
19,a view of an airport runway with planes on the tarmac
20,a small blue and white plane flying in the air
21,a motorcycle parked in a field with a herd of animals
22,a man sitting on a bench with a white dog
23,a traffic light with two red and green lights
24,a dining room with a wooden table and windows
25,a group of people standing around a blue net
26,a house with a snow covered roof and trees
27,a group of birds flying in a cloudy sky
28,a boat with a tent and a swan in the water
29,two giraffes eating leaves from a tree in a field
30,a yellow fire hydrant on a street at night
31,a black bird standing in a flower pot
32,a black and white photo of a building with a clock tower
33,two geese swimming in a body of water
34,a street sign on a wooden pole with a parking sign
35,a sheep standing in the grass in a field
36,a man and a woman holding a pink skateboard
37,a group of signs in front of a house
38,a cow walking down a street in front of a store
39,a cow standing next to a blue barrel on a street
40,a cat eating a banana with a person feeding it
41,a cat sitting on a chair next to a table
42,a cow standing in a field next to some temples
43,a black and white cow standing in a field
44,a painting of a woman with a face with dots on it
45,an elephant walking in front of a group of people
46,an elephant is standing next to a tree
47,two kayaks sitting on a beach next to the water
48,a group of boats docked in a harbor
49,two elephants walking in the grass in a field
50,a woman and a girl with a suitcase
51,a woman in a dress sitting on a suitcase
52,a woman sitting on a suitcase talking on a cell phone
53,a small child sitting on the floor next to a wall
54,a brown dog laying next to a swimming pool
55,two children walking in the rain with umbrellas
56,a black dog standing next to a food dish
57,a man walking on the beach with a frisbee
58,a man walking down a dirt road in the desert
59,a zebra is eating grass in a field
60,a zebra standing in the snow
61,three zebras and an animal grazing in a field
62,two zebras playing in a field with each other
63,a group of figurines of horses on a wall
64,a woman standing next to a horse looking at a car
65,a man is riding a horse over a hurdle
66,a woman standing next to a white horse
67,a banana and two oranges on a table
68,a group of children playing baseball in a field
69,a man dressed in a bunch of bananas on his head
70,a man wearing a bunch of bananas on his head
71,a baseball player throwing a ball during a game
72,two plates of food on a table with food
73,a man and a little girl walking in the snow
74,a young boy is holding a bowl of dessert
75,a woman standing on a sidewalk in front of a store
76,a boy doing a trick on a skateboard at a skate park
77,two young boys on skateboards on a street
78,two men are snowboarding down a snow covered slope
79,a young girl sitting at a table eating food
80,a man is holding a snowboard in a room
81,a display case in a bakery filled with lots of donuts and pastries
82,a young boy eating a sandwich on a bench
83,a display case filled with lots of different types of pastries
84,a plate with a sandwich and a salad and a pickle
85,a sandwich and a cup of coffee on a table
86,a display of donuts in a display case in a bakery
87,a young man standing in front of a basketball hoop
88,a woman standing in the water holding a surfboard
89,a man standing on a soccer field with a ball
90,a man riding a wave on a surfboard in the ocean
91,a group of young men playing a game of soccer
92,a woman standing in a kitchen with a cake
93,a baby is eating a piece of food
94,a group of children standing in a field with soccer balls
95,a man sitting at a table with a pizza
96,a baby doll laying on top of a bed
97,a picture of a bride and groom sitting on a bed
98,a pizza with many different toppings on a plate
99,two pink tennis rackets sitting next to each other
100,a young girl eating a slice of pizza
101,a woman holding a tennis racket in a room
102,two slices of pizza on a wooden cutting board
103,a brown couch with two pineapple pillows on it
104,a woman is looking up at the camera
105,a living room with a couch and a table
106,a group of men sitting at a desk working on a computer
107,a man standing on the beach flying a kite
108,a person flying a blue kite in a field
109,a man holding a little girl on a swing
110,two kites flying in the sky
111,a clock on top of a pole on a street
112,a baseball player standing on a baseball field
113,a baseball player holding a bat on a field
114,a baseball player holding a bat on a field
115,a young boy holding a baseball bat in a field
116,a baseball player holding a bat on a field
117,a man swinging a baseball bat at night
118,a person is taking a pizza out of an oven
119,a group of people playing tennis on a tennis court
120,a young man hitting a tennis ball with a racket
121,a group of people standing outside of a building with a clock
122,a cup of coffee sitting next to two vases
123,a man in a costume talking on a cell phone
124,a building with a clock tower in front of it
125,a woman sitting next to a statue of a bird
126,a large building with a clock tower on top of it
127,a group of stuffed animals sitting next to each other
128,a building with a clock tower in a street
129,a vase filled with white flowers sitting next to a doll
130,a bouquet of purple flowers in a vase
131,a man is holding a large pair of scissors
132,a group of scissors and other tools on a cutting board
133,a group of people sitting at a table in a restaurant
134,a woman standing next to a group of people
135,a group of people sitting around tables with wine glasses
136,a man standing in a store holding a wine glass
137,a group of people standing in a crowd with luggage
138,a bunch of vegetables sitting on a counter top
139,a woman standing in a kitchen with a cat sitting on the floor
140,a woman standing in a kitchen with a stove
141,a man sitting at a table in a kitchen
142,a man standing in a kitchen with a white dog
143,a kitchen with a table with utensils on a wall
144,a group of people standing on a street looking at a cell phone
145,a man on a bike leaning against a wall
146,a bathroom with a toilet and a wooden cabinet
147,a bathroom with a sink and a mirror
148,a bathroom with a shower with a toilet and a sink
149,a woman is riding a motorcycle on a bridge
150,a white toilet sitting in a messy room
151,a building with a clock on the side of it
152,two people riding on a motorcycle in the rain
153,a group of people standing in front of two large planes
154,a red airplane flying in the sky with smoke
155,an airplane is flying in the blue sky
156,an airplane is flying in the blue sky
157,a small plane flying in the blue sky
158,a herd of sheep grazing on the beach
159,a giraffe standing in the middle of a field
160,a giraffe standing next to some trees
161,a traffic light in a city with tall buildings
162,a city street at night with a traffic light
163,two giraffes walking in a field next to a fence
164,a giraffe eating hay from a feeder in a zoo
165,two giraffes standing in a field next to a road
166,a yellow and black fire hydrant next to a bench
167,a group of sheep standing in a field
168,a man sitting on a bench by the water
169,a giraffe standing in front of a building
170,two ducks swimming in a body of water
171,three giraffes standing next to a wooden fence
172,a giraffe and a zebra in a zoo
173,a street sign on a pole with a traffic light
174,a giraffe grazing on the grass in a field
175,two giraffes standing next to a pole in a zoo
176,a herd of animals in a field behind a fence
177,a herd of sheep grazing in a field
178,a herd of sheep grazing in a field
179,a truck driving down a street with animals in the back
180,a car driving down a highway with a train on it
181,a red train is sitting on the tracks
182,a stop sign buried in a pile of snow
183,a red train at a train station with people standing on the platform
184,a stop sign on a pole with a 3 way sign
185,a cat walking on top of two red suitcases
186,a cat sitting on a window sill looking outside
187,a fire truck with christmas decorations on the top of it
188,an old photo of a group of people posing for a picture
189,a dog wearing a tie in a room
190,a close up of the side of a boat
191,a group of boats sitting on the sand
192,a man and a woman posing for a picture
193,three people walking down a street in the rain with umbrellas
194,a cat laying in a bathroom sink
195,a cat laying on a blanket on a bed
196,a man with a cat sitting on his lap with a laptop
197,a man is standing next to an elephant
198,a dog playing with a frisbee on the beach
199,two dogs playing with a frisbee in the snow
200,two pieces of black luggage sitting next to each other
201,a store with a man in a superhero costume and luggage
202,a brown dog running with a purple frisbee in its mouth
203,two birds flying in the sky over a field
204,a little girl holding a red frisbee in the grass
205,a group of zebras and antelopes standing in a field
206,a herd of zebras grazing in a field
207,a zebra standing on the ground in a field
208,a horse running in the woods
209,a woman and child walking past a statue of a man on a horse
210,a bunch of bananas in a plastic bag
211,a man on a jet ski in the water
212,two people cross country skiing in the snow
213,a pile of oranges and lemons sitting next to each other
214,a pile of oranges and lemons sitting next to each other
215,a woman is skiing down a snow covered trail
216,two men playing a game of baseball on a field
217,two men are jumping in the snow on skis
218,two young men riding skateboards down a city street
219,a woman is cross country skiing in the snow
220,a man is skiing down a snow covered slope
221,two young boys playing with a bike at a skate park
222,a green container of sushi with fruit and vegetables
223,a wooden table with plates and a bowl of food
224,a group of people on skis in the snow
225,a man eating a piece of food in front of a building
226,a man doing a trick on a skateboard on a ramp
227,a chocolate donut with sprinkles on top of a basket
228,a piece of cake next to a cup of coffee
229,a piece of cake on a plate with a spoon
230,a piece of cake on a white plate with a carrot
231,a man sleeping in a bed with two cats
232,a bedroom with a bed and posters on the wall
233,a person sitting at a table with a birthday cake
234,a woman standing in a kitchen with a cake on a counter
235,two women are holding a birthday cake with 4090
236,two women holding up a birthday cake with a picture
237,a man riding a paddle board on a wave in the ocean
238,a group of people standing on the beach with surfboards
239,a pizza with cheese and mushrooms on a pan
240,a man standing on a tennis court holding a racket
241,a pizza sitting on a table next to a glass
242,a slice of pizza on a plate on a table
243,two people sitting at a table with two pizzas
244,a shirtless man holding a tennis racket on a court
245,a living room with a couch and two chairs
246,a man and woman playing a video game in a living room
247,a young girl is holding a video game controller
248,a desk with three computer monitors and a laptop
249,a living room with a couch and a table
250,a child sitting on the grass in a field with a dog
251,a baseball player holding a bat on a field
252,a baseball player swinging a bat at a ball
253,a large clock on the side of a building
254,a woman sitting on a bed with a laptop
255,a laptop computer sitting on a table with a glass of beer
256,a person holding a cell phone in their hand
257,a woman holding a remote control in front of a laptop
258,a woman is putting a turkey in an oven
259,a little girl blow drying her hair with a hair dryer
260,a plate of food with a sandwich on a table
261,two young boys sitting next to each other holding a teddy bear
262,a woman sitting at a table in a restaurant
263,a kitchen counter with a cake on top of an oven
264,a wooden table with a laptop computer on it
265,a kitchen with white cabinets and a white refrigerator
266,a hole in the floor of a dirty room
267,a bathroom with a white toilet in a room
268,a bathroom with a toilet and a bath tub
269,a bathroom with a tub sink and a washing machine
270,a small bathroom with a sink and a window
271,a black cat sitting in a bathroom sink
272,a dog sitting in the back seat of a car
273,a view of a busy city street with cars and buses
274,a white toilet in a bathroom with a shower
275,a bathroom with a white sink and a toilet
276,a cat standing in the bowl of a toilet
277,a black and white cat laying on a pillow next to a printer
278,a pile of oranges sitting in a white bowl
279,a blue and yellow plane flying in the sky
280,a plane flying in the sky above a tree
281,an airplane flying in the sky above a tree
282,two birds perched on the back of a giraffe
283,two tall buildings in a city with a kite in the sky
284,an airplane is flying over two tall buildings
285,a giraffe is standing on a rocky field
286,an empty street with green traffic lights at sunset
287,a blue box sitting on top of a wooden bench
288,a green traffic light with a car driving down a street
289,a herd of sheep grazing on the side of a road
290,a young girl petting a sheep in a pen
291,a bird with its wings out in a field
292,a man sitting on the front of a boat in the water
293,a woman is standing in front of an elephant
294,a man sitting on a bed in a hospital
295,a blue train is sitting on the tracks
296,a black bird sitting on top of a wooden pole
297,two birds are standing in a cage
298,a cake with a hat on top of it
299,a woman standing in front of a table with a cake
