0,1,2
0,a man riding a motorcycle on a dirt road.,0.9458186030387878
1,a group of people sitting at a table with a bowl of food.,0.9461488723754883
2,a man riding a bike next to a train.,0.9997588992118835
3,a kitchen sink and a window in a room.,0.891485333442688
4,a group of wooden spoons sitting on a table.,0.9129317998886108
5,a long wooden table with wooden spoons on it.,0.944123387336731
6,a small bathroom with a toilet and a bath tub.,0.9305081963539124
7,a bathroom with a toilet and a shower and a sink.,0.987231433391571
8,a group of people riding bikes down a city street.,0.9970298409461975
9,a bathroom with a sink and a toilet and a mirror.,0.9940674304962158
10,a wooden shelf with baskets on top of a toilet.,0.9612119197845459
11,a man wearing glasses and a black shirt and a tie.,0.9845435619354248
12,a couple of men riding on a motorcycle.,0.9876936078071594
13,a row of motorcycles parked on the side of a street.,0.9643911719322205
14,a living room with a white chair and a television.,0.9658806920051575
15,a tray with a bottle and oranges on a table.,0.7904036045074463
16,a bunch of bananas sitting in a wooden crate.,0.9115544557571411
17,a motorcycle parked in front of a shelf of wine.,0.8870804905891418
18,a man boarding a plane at an airport.,0.8712946176528931
19,a view of an airport with planes parked on the tarmac.,0.907651424407959
20,a small blue and white plane sitting on a field.,0.8854522705078125
21,a motorcycle parked on a dirt road next to a fence.,0.9733968377113342
22,a white dog walking down a street next to a person.,0.9003680944442749
23,a group of traffic lights on a pole.,0.9770334362983704
24,a dining room with a vase of flowers on the table.,0.8376325368881226
25,a group of people crossing a street in a city.,0.9719104766845703
26,a herd of sheep standing in front of a building.,0.9556333422660828
27,a group of birds flying in the sky over the beach.,0.9497279524803162
28,a boat with a swan in the water.,0.9066957831382751
29,a couple of giraffes grazing in a field of tall grass.,0.9679310321807861
30,a yellow fire hydrant in front of a building at night.,0.9863592982292175
31,a black bird standing next to a potted plant and an apple.,0.9497534036636353
32,a street sign in front of a building with a clock tower.,0.9918698668479919
33,a couple of geese swimming in the green water.,0.9578002095222473
34,a couple of street signs on a wooden pole.,0.9240443706512451
35,a sheep is standing in the grass next to a road.,0.950947642326355
36,a couple of men holding a snowboard in a room.,0.8674209117889404
37,a group of signs on a pole in front of a building.,0.957994818687439
38,a brown cow walking down a city street.,0.8699724078178406
39,a cow standing in front of a bucket of water.,0.9417659044265747
40,a cat is laying on the floor with a toy banana.,0.8756682276725769
41,a cat sitting on top of a wooden chair.,0.9504730701446533
42,a couple of cows walking down a hill near a palm tree.,0.8989878296852112
43,a black and white cow standing in a field.,0.9993032217025757
44,a close up of a woman with green eyes.,0.9247356653213501
45,a baby elephant is standing in an enclosure with other elephants.,0.8575292229652405
46,an elephant is standing in a field with a stick.,0.873404860496521
47,two yellow kayaks sitting on the shore of the ocean.,0.8944268822669983
48,a row of boats parked next to a body of water.,0.8107843995094299
49,a large elephant walking in a field with a rhino.,0.8563596606254578
50,a woman and a girl sitting on a bench.,0.8764098882675171
51,a woman sitting on top of a suitcase.,0.9976067543029785
52,a woman sitting on a suitcase in the woods.,0.9805452227592468
53,a young child sitting on the floor in a room.,0.821593701839447
54,a dog is laying next to a swimming pool.,0.9091883301734924
55,a couple of people walking with umbrellas in the rain.,0.9384191036224365
56,a black dog sitting on the floor next to a plate of broccoli.,0.995425820350647
57,a man walking on a beach in the sand.,0.9407768249511719
58,a person and two dogs walking on a desert.,0.8336362838745117
59,a close up of a zebra grazing on grass.,0.9849094748497009
60,a zebra standing in the snow in a fence.,0.9967797994613647
61,a zebra and a other animal grazing on a hill by the beach.,0.911141037940979
62,a couple of zebras fighting in a field.,0.9437546730041504
63,a group of toy horses and sheep on a wall.,0.9191480278968811
64,a woman petting a horse next to a car.,0.9591816663742065
65,a view of a building with a clock on the top of it.,0.9430369138717651
66,a painting of a woman standing next to a white horse.,0.9955773949623108
67,a banana and two oranges in a banana holder.,0.8744059801101685
68,a group of children playing baseball on a field.,0.9807090163230896
69,a person wearing a bunch of bananas on his head.,0.9574419260025024
70,a child wearing a bunch of bananas on her head.,0.954444169998169
71,a baseball player throwing a ball on a field.,0.9981595873832703
72,a plate of food with a sandwich and a salad.,0.9224354028701782
73,a man and a little girl skiing down a snow covered slope.,0.9960131645202637
74,a young boy holding a bowl of strawberries.,0.9614545106887817
75,a woman is walking down the street next to books.,0.865544855594635
76,a man doing a trick on a skateboard in the air.,0.9716891050338745
77,a couple of young men riding skateboards on a sidewalk.,0.9892668128013611
78,a couple of people are playing in the snow.,0.9862692356109619
79,a young girl sitting at a table eating a hot dog.,0.9670747518539429
80,a man holding a snowboard in a room.,0.9000093936920166
81,a bunch of different types of sandwiches and donuts in a display case.,0.8921830058097839
82,a young boy eating a piece of cake in a car.,0.980040431022644
83,a display case filled with lots of different types of donuts.,0.9261961579322815
84,a white plate with a sandwich and a pickle.,0.9145860075950623
85,a tray of food and two cups of coffee on a table.,0.9281631112098694
86,a group of different types of donuts in a box.,0.9244831204414368
87,a young man holding a basketball in a gym.,0.938927412033081
88,a man in a wet suit holding a surfboard.,0.9966640472412109
89,a man catching a soccer ball on a field.,0.9292033910751343
90,a couple of people riding a wave on a surfboard.,0.9309340119361877
91,a group of men playing a game of soccer.,0.9856695532798767
92,a woman standing in front of a cake.,0.9938884973526001
93,a young boy eating a piece of cake.,0.8756176233291626
94,a group of children playing soccer in a field.,0.943120002746582
95,a man sitting at a table with a pizza.,0.968385636806488
96,a young child laying on a bed.,0.9320369958877563
97,a man and a woman laying in a bed.,0.9753161668777466
98,a close up of a pizza with tomatoes and cheese.,0.9824012517929077
99,a couple of tennis rackets sitting next to each other.,0.9402610063552856
100,a little girl eating a slice of pizza.,0.9243143200874329
101,a woman holding two tennis rackets in a room.,0.9928708672523499
102,a slice of pizza on a wooden cutting board.,0.9073836803436279
103,a brown couch with pillows and a table.,0.9044489860534668
104,a young child is brushing his teeth with a toothbrush.,0.9772856831550598
105,a living room with a couch and a table and a window.,0.9759567975997925
106,a couple of men sitting at a desk using computers.,0.9459682703018188
107,a man holding a baseball bat on a beach.,0.9146799445152283
108,a man running in a field with a blue kite.,0.9192414879798889
109,a little girl sitting on a swing at a park.,0.8752151131629944
110,a couple of kites flying in the blue sky.,0.9944057464599609
111,a clock on a pole on the side of a street.,0.9900655746459961
112,a baseball player swinging a bat on a field.,0.9999284744262695
113,a baseball player holding a bat on a field.,0.9999333024024963
114,a baseball player holding a bat on a field.,0.9937965273857117
115,a young boy holding a baseball bat in a field.,0.9787920713424683
116,a baseball player holding a bat at a game.,0.9925508499145508
117,a man is holding a stick in front of a large object.,0.8277230858802795
118,a person holding a pizza on a pan.,0.9150556921958923
119,a group of people playing tennis on a tennis court.,0.9583265781402588
120,a young boy swinging a tennis racket at a tennis ball.,0.9969021677970886
121,a group of people sitting on the side of a building.,0.9401643872261047
122,a couple of white vases with a cup of coffee.,0.8858822584152222
123,a man dressed in a costume talking on a cell phone.,0.9153278470039368
124,a large crowd of people in front of a building with a clock tower.,0.967107355594635
125,a woman brushing a cat's teeth with a toothbrush.,0.9824234843254089
126,a large building with a clock tower on top of it.,0.9938248991966248
127,a group of stuffed animals sitting on a table.,0.9637711644172668
128,a building with a clock tower on the top of it.,0.9700571894645691
129,a vase filled with white flowers and a doll.,0.9283946752548218
130,a white vase filled with purple flowers in it.,0.9960387945175171
131,a man holding a large pair of scissors.,0.9930808544158936
