0,1
0,a man standing on a dirt road with a suitcase
1,a couple of women sitting at a table with food
2,a man is sitting in front of a train
3,a kitchen with a sink and a window
4,a pile of wooden scissors sitting on top of a wooden table
5,a wooden table topped with a bunch of scissors
6,a bathroom with a toilet and a sink
7,a bathroom with a shower and a sink
8,a man riding a bike down a street
9,a bathroom with a sink and a toilet in it
10,a bathroom with a toilet and a sink
11,a man wearing glasses and a tie
12,a man riding on the back of a motorcycle
13,a motorcycle parked on the side of a street
14,a bedroom with a bed and a television
15,a close up of a pair of scissors
16,a bunch of bananas sitting on a table
17,a motorcycle parked in front of a building
18,a plane is parked at an airport terminal
19,a view of a plane at an airport
20,a small plane is sitting on a field
21,a red and black motorcycle parked in a dirt field
22,a man riding a white horse next to a woman
23,a traffic light with a green light
24,a table with a vase of flowers on it
25,a group of people standing around a tennis court
26,a herd of sheep standing next to a fence
27,a flock of birds flying over a body of water
28,a boat that is sitting in the water
29,a couple of giraffes are standing in a field
30,a yellow fire hydrant sitting in the dark
31,a black bird is eating a piece of fruit
32,a tall building with a clock on it
33,a couple of ducks swimming in a lake
34,a close up of a street sign with a sky background
35,a couple of sheep standing in a field
36,a woman in a red coat holding a snowboard
37,a street sign on a street corner
38,a cow is walking down the street in front of a store
39,a black cow standing next to a blue fire hydrant
40,a cat is eating a banana with a persons hand
41,a cat sitting on a chair in a room
42,a couple of animals that are standing in the grass
43,a black and white cow standing in a field
44,a woman with a hat on her head
45,a herd of elephants standing on top of a dirt field
46,a couple of elephants standing next to each other
47,a couple of surfboards sitting on top of a beach
48,a group of boats parked in a harbor
49,a large elephant walking across a grass covered field
50,a woman and a woman pose for a picture
51,a woman is holding a piece of luggage
52,a woman is sitting on the ground talking on a cell phone
53,a baby is sitting on the edge of a sink
54,a dog laying on the side of a building
55,a black and white photo of a person running with a frisbee
56,a black dog sitting in front of a plate of food
57,a person walking on a beach with a surfboard
58,a person riding a bike on a dirt road
59,a couple of zebra standing next to each other
60,a zebra standing in a snow covered field
61,a group of zebras grazing in a field
62,a couple of zebra standing on top of a dry grass field
63,a group of horses standing next to each other
64,a horse and a woman in a red jacket
65,a man on a motorcycle driving down the road
66,a woman riding a horse in the snow
67,a banana and orange sitting on a table
68,a group of young people playing a game of baseball
69,a man with a bunch of bananas on his head
70,a woman with a bunch of bananas on her head
71,a baseball player pitching a ball on top of a field
72,a plate of fries and a sandwich on a table
73,a couple of people standing on top of a snow covered slope
74,a young boy holding a plate of food
75,a woman walking down the street with a skateboard
76,a man riding a skateboard down the side of a ramp
77,a man riding a skateboard down a street
78,a couple of people that are standing in the snow
79,a woman sitting at a table with a sandwich
80,a man standing next to a white toilet
81,a display case filled with lots of donuts
82,a young boy is eating a sandwich
83,a display case filled with lots of different kinds of donuts
84,a white plate topped with a sandwich and salad
85,a sandwich and a drink on a table
86,a plate of donuts with sprinkles and sprinkles
87,a man with a tie standing in front of a building
88,a man standing on a beach holding a surfboard
89,a man is playing soccer on a field
