0,1,2
0,a dog laying on the floor next to a table.,0.9638423919677734
1,a bird sitting on the ground in the woods.,0.9225125908851624
2,a bottle of alcohol and a glass on a table.,0.9809814691543579
3,a car parked on the water near a body of water.,0.9048189520835876
4,a black and white bird standing on the grass.,0.993776798248291
5,a bird sitting on top of a flower pot.,0.9588861465454102
6,a white bird flying over a lush green field.,0.9232527017593384
7,a couple of sheep standing in the grass with a leash.,0.8783704042434692
8,a woman sitting in a kitchen talking to the side.,0.823558509349823
9,a wooden table with plates and a window.,0.9626981616020203
10,a couple of birds perched on a tree branch.,0.9526799321174622
11,a church with a large clock on the front of it.,0.8441696166992188
12,two brown horses looking out of a wooden fence.,0.9293019771575928
13,a couple of sheep grazing in a field of grass.,0.9802843928337097
14,a group of people playing in the water at the beach.,0.9834383130073547
15,a black and white couch with pictures on the wall.,0.9385912418365479
16,a brown and white cow standing on the side of a road.,0.9995809197425842
17,a group of wooden chairs sitting next to each other.,0.9940177202224731
18,a group of people and a dog in a sled in the snow.,0.9751473069190979
19,a living room with a green chair and a lamp.,0.9602721333503723
20,a cat sitting on a table next to a wall.,0.9290828704833984
21,a subway train with its doors open at a station.,0.963234543800354
22,a black chair and a table next to a red wall.,0.9111378192901611
23,a person sitting on a bench in front of a book shelf.,0.968622624874115
24,a small boat in a body of water.,0.8948339819908142
25,a small white dog laying on a bed in the sand.,0.9426484704017639
26,a brown cow grazing in a field of grass.,0.9722111225128174
27,a black cat laying on a couch.,0.9995905160903931
28,a group of blankets and pillows on a bed.,0.9220852255821228
29,a black and white photo of a train on the tracks.,0.9941455721855164
30,a brown and white cow standing next to a fence.,0.9830071926116943
31,a living room with green walls and a fireplace.,0.9968419075012207
32,a black motorcycle parked on a street.,0.9642834067344666
33,a view of a train traveling down the tracks.,0.9291185140609741
34,a white dog standing in the grass near a tree.,0.9700684547424316
35,a school bus is driving down a street next to a fire hydrant.,0.9532080292701721
36,a dog laying on the rug next to a mirror.,0.8924945592880249
37,a brown horse with a white mane standing in a field.,0.9305468201637268
38,a cat laying on a blanket on a bed.,0.9820329546928406
39,a city bus driving down a street with a truck.,0.9415940046310425
40,a close up of a grey animal with a red spot on its head.,0.9186303615570068
41,a black and white cat laying on a couch.,0.9959712028503418
42,a bike leaning against a building with a window.,0.9194130301475525
43,a sheep is grazing in a field behind a fence.,0.8886080384254456
44,a cat sitting on top of a window sill.,0.9326180815696716
45,a small bird standing in the grass next to some trees.,0.8640112280845642
46,a cat sleeping on a red couch.,0.9352228045463562
47,a couple of planes on a runway at an airport.,0.9104306101799011
48,a large airplane is sitting on the runway at an airport.,0.9727714657783508
49,a couple of women standing in front of a house with a flag.,0.985907793045044
50,a laptop computer sitting on top of a table.,0.9995322823524475
51,a red race car with a race track on it.,0.8345117568969727
52,a man and a woman petting a brown horse.,0.9741054773330688
53,a black motorcycle parked on the side of a road.,0.9658170938491821
54,a small airplane on display in a museum.,0.967981219291687
55,a group of boats are on display in a building.,0.9685468077659607
56,a bunny sitting on top of a couch under a blanket.,0.8741990923881531
57,a cat laying on top of a red pillow.,0.9620070457458496
58,a dog on a leash standing in the leaves.,0.9850674271583557
59,a black motorcycle parked in front of a building.,0.9969608187675476
60,a fighter jet flying through the sky over a tree.,0.8399961590766907
61,a bird standing on a brick next to a flower.,0.9019345641136169
62,a woman sitting at a table with a cake and candles.,0.995275616645813
63,a purple truck with yellow graffiti on the back of it.,0.8818086981773376
64,a group of three double decker buses parked in front of a building.,0.9777329564094543
65,a red and white airplane is on a runway.,0.9239158034324646
66,a living room with a couch and a table.,0.9542141556739807
67,a couple of black cows eating hay in a field.,0.95231693983078
68,a bike parked in the snow next to a boat.,0.9526606798171997
69,a black and white cow standing in a field next to a fence.,0.9587652087211609
70,a cat sitting on a window sill looking out of a window.,0.9474891424179077
71,a large airplane sitting on top of an airport runway.,0.9106144905090332
72,a man holding a bottle of beer in his hand.,0.9418365955352783
73,a close up of a television on a shelf.,0.9809093475341797
74,a close up of a black and white cat.,0.9977772831916809
75,a brown cow standing outside of a blue building.,0.9456648826599121
76,a yellow school bus driving down a road.,0.931623637676239
77,a man standing next to a train on the tracks.,0.9998019933700562
78,a couple of men sitting in front of a computer.,0.9448893070220947
79,a city street with buildings and a bike parked on it.,0.8630938529968262
80,a man is tying his tie in a room with a bottle of beer.,0.9182481169700623
81,a train is on the tracks at a train station.,0.8877444267272949
82,a white bird flying over a body of water.,0.996232271194458
83,a cat looking out of a window.,0.9220587015151978
84,a woman riding on the back of a horse.,0.9929277300834656
85,a man and a woman sitting at a table with glasses.,0.981107234954834
86,a man riding on the back of a white horse.,0.9999346137046814
87,a wooden table and chairs under a tree.,0.9930872321128845
88,a bike parked in a room next to a basket.,0.9092397689819336
89,a small white horse nursing from its mother in a field.,0.8850064873695374
90,a man and a woman holding a baby at a table.,0.9990643858909607
91,a group of dogs laying on a bed.,0.9956518411636353
92,a red bike parked next to a blue building.,0.9593596458435059
93,a white cat sleeping on a orange table.,0.8764512538909912
94,a man riding a bike next to a car.,0.9990218281745911
95,a yellow bike parked next to a water hydrant.,0.8901158571243286
96,a person riding a motorcycle on a race track.,0.9794923663139343
97,a black sheep standing in the hay.,0.9719076752662659
98,a small bird perched on top of a tree branch.,0.9234361052513123
99,a red building with a bucket of trash in it.,0.8574541211128235
100,a couple of double decker buses parked on the street.,0.9549852013587952
101,a silver car parked on the side of a building.,0.9681552648544312
102,a person riding a green motorcycle on a race track.,0.9333323836326599
103,a dog sitting in the passenger seat of a car.,0.9592445492744446
104,a red train is sitting on the tracks.,0.9377129673957825
105,a man riding a horse drawn cart on a field.,0.9663945436477661
106,a close up of a propeller on top of a plane.,0.9491310119628906
107,a young child sitting in a car seat.,0.9145424365997314
108,a double decker bus parked in the grass.,0.9490366578102112
109,a group of potted plants on a window sill.,0.9901508092880249
110,a couple of people on a raft in a river.,0.9713898301124573
111,two men standing next to each other on a road.,0.8770670890808105
112,a double decker bus driving down a city street.,0.9543377161026001
113,a wooden table with chairs and a vase of flowers on it.,0.9831390976905823
114,a view of a tall building next to a river.,0.8747653365135193
115,a white cat eating a piece of food in its mouth.,0.969923734664917
116,a red couch with red pillows on a room.,0.9068784713745117
117,a man riding a bike.,0.9310457706451416
118,a train is traveling down the tracks in a field.,0.9956057071685791
119,a computer monitor sitting on top of a desk.,0.9979422092437744
120,a white dog sitting on a couch.,0.9985398650169373
121,a red car is driving down a street.,0.8999103903770447
122,a close up of a car with a license plate.,0.9571420550346375
123,a small bird is standing in the grass.,0.9889421463012695
124,a horse standing on a hill with the sun setting.,0.9254510402679443
125,a old computer sitting on top of a keyboard and monitor.,0.9038587212562561
126,a red double decker bus driving down a city street.,0.9934513568878174
127,a computer screen on top of a bus.,0.8443369269371033
128,a black and white cow standing behind a wooden fence.,0.9758590459823608
129,a couple of white birds flying in a blue sky.,0.9532765746116638
130,a small blue and white plane flying in the sky.,0.9366964101791382
131,a young woman is posing in front of a wall.,0.8900618553161621
132,a bottle of wine next to a wine glass.,0.9110674858093262
133,a group of people walking next to a subway train.,0.9430891871452332
134,a cup and a bottle sitting on a window sill.,0.8965248465538025
135,a red motorcycle parked on the side of a wall.,0.860628604888916
136,a row of motorcycles parked on the side of a street.,0.9951993823051453
137,a brown and white horse standing behind a wire fence.,0.9750918745994568
138,a group of people sitting in a living room with laptops.,0.9736648201942444
139,a black and white cat looking up at the camera.,0.9876141548156738
140,a man riding a skateboard down a street.,0.9944772124290466
141,a red motorcycle parked on the grass next to a sidewalk.,0.9221857190132141
142,a boat with rope on the water.,0.9427939057350159
143,a white bus parked on the side of a building.,0.9740427732467651
144,a cat sitting on top of a white chair.,0.9606911540031433
145,a police officer standing on a street with a bike.,0.9460525512695312
146,a blue bus with a reflection of a boat in the windshield.,0.8367142677307129
147,a large airplane flying through a cloudy sky.,0.9362351298332214
148,a store with a bunch of bottles of wine on display.,0.904127836227417
149,a bike parked next to a wooden box on the street.,0.9893828630447388
150,a black train is traveling down the tracks.,0.9146021008491516
151,a blue and yellow bus parked on the side of the street.,0.9139248132705688
152,a group of potted plants sitting on a tiled floor.,0.8431434631347656
153,a wooden table with a fan and a room.,0.859086811542511
154,a boat in the sky with a cloudy sky.,0.9095172882080078
155,a group of boats in the water near a beach.,0.9007245302200317
156,a red and yellow double decker bus driving down a road.,0.9640578031539917
157,a group of people sitting at a booth at a restaurant.,0.9799187183380127
158,a group of cactus plants sitting on the side of a street.,0.8650177121162415
159,a woman holding a blue ball in an office.,0.8799263834953308
160,a man riding a motorcycle on a street.,0.9369613528251648
161,a red bike parked next to a tree.,0.9359551668167114
162,a brown dog standing next to a puddle of water.,0.9815552234649658
163,a woman and a child sitting outside of a house.,0.9932957887649536
164,a couple of men cutting a cake on a table.,0.9445421099662781
165,a woman running down a dirt road.,0.8916999101638794
