0,1,2
0,a man walking on the train with luggage on the tracks.,0.7991594076156616
1,a man talking on a cell phone.,0.9474921822547913
2,a person walking with a bike in front of a train.,0.876544177532196
3,a kitchen with a sink and two windows.,0.8044443726539612
4,a group of wooden spoons sitting on top of a cutting board.,0.8707663416862488
5,a group of wooden utensils sitting on a table.,0.8357830047607422
6,a white bathroom with two sinks and a toilet.,0.9311938881874084
7,a bathroom with two toilets and a shower.,0.9886170029640198
8,a group of people riding bikes down a city street.,0.9835898280143738
9,a bathroom with a sink and a toilet and a mirror.,0.9613843560218811
10,a wooden chair sitting next to a window in a room.,0.8974245190620422
11,a man wearing glasses and a suit and tie.,0.927614152431488
12,a couple of men sitting on a motorcycle.,0.9336114525794983
13,a group of motorcycles parked on the side of a building.,0.920576810836792
14,a white bed sitting in front of a television.,0.9056773781776428
15,a painting of a glass vase and oranges on a table.,0.7855978608131409
16,a bunch of bananas sitting on a table.,0.9326868057250977
17,a wooden bicycle sitting in a shelf in a room.,0.8098455667495728
18,a large white airplane parked at an airport.,0.9011092185974121
19,a group of airplanes parked at an airport.,0.8653447031974792
20,a small plane flying in the grass on a field.,0.8207013010978699
21,a motorcycle parked in the dirt next to a fence.,0.9029853343963623
22,a man sitting on a bench with a white dog.,0.9937465190887451
23,a group of traffic lights with a blue sky.,0.9279332756996155
24,a wooden table with chairs and a bunch of windows.,0.91850346326828
25,a group of people standing on a sidewalk.,0.9197742938995361
26,a herd of sheep grazing in the grass in a field.,0.8951327204704285
27,a group of birds flying over a body of water.,0.9830853343009949
28,a group of flags on the back of a boat.,0.9256680011749268
29,a group of giraffes standing in a field.,0.9519500732421875
30,a yellow fire hydrant sitting next to a building.,0.9793463945388794
31,a couple of black birds sitting on top of wooden boards.,0.7782701253890991
32,a black and white photo of a large building with a street sign.,0.8901328444480896
33,a couple of ducks swimming in a body of water.,0.9032987952232361
34,a couple of street signs on a wooden pole.,0.9153832793235779
35,a sheep standing in a field of grass.,0.994645893573761
36,a group of women standing next to each other.,0.920098066329956
37,a building with signs in front of it.,0.9130867123603821
38,a brown cow standing on the side of a street.,0.8892849087715149
39,a cow standing next to a bucket of water.,0.8376436829566956
40,a gray dog eating a banana on a bed.,0.8254695534706116
41,a blue cat sitting on top of a rug.,0.7425941824913025
