0,1
0,a cat lying on a rug
1,a creek in the woods
2,a bottle of wine
3,a car driving on a beach
4,a black and white bird standing on grass
5,a bird on a plant
6,a white bird on grass
7,a couple of sheep lay in a grassy field
8,a person sitting in a chair
9,a table with plates and a plate
10,a couple of birds on a branch
11,a large stone building with a clock tower
12,horses in a barn
13,a kangaroo eating grass
14,a group of people in a wave pool
15,a couch with a lamp on it
16,a cow standing on a dirt road
17,a group of chairs
18,a dog pulling a cart with people in it
19,a living room with a green couch
20,a cat sitting on a table
21,a train at a train station
22,a chair with a tv on top of it
23,a person's legs and a couch in a room
24,a boat on the water
25,a small white dog on a couch
26,a brown cow grazing on grass
27,a cat lying on a couch
28,a room with a couch and a chair
29,a train on the railway tracks
30,a cow looking over a fence
31,a living room with a fireplace
32,a motorcycle parked inside
33,a man holding a gun
34,a dog standing in a grassy area
35,a yellow school bus parked on the side of a street
36,a dog lying under a table
37,a horse with a halter
38,a cat lying on a blanket
39,a firetruck on the road
40,a bird with a red and white beak
41,a cat lying on a rug
42,a bicycle parked on a street
43,a camel with a long tail
44,a cat sitting on a chair
45,a bird standing in the grass
46,a cat sleeping on a couch
47,a small plane on a runway
48,a plane on the runway
49,a man and woman posing for a picture
50,a laptop sits on a table
51,a red race car
52,a person petting a horse
53,a motorcycle parked on a dirt road
54,a large military plane in a museum
55,several boats in a warehouse
56,a rabbit sitting on a bed
57,a cat lying on a blanket
58,a dog on a leash in a park
59,a motorcycle parked on the sidewalk
60,a jet flying over a bridge
61,a bird standing on a flower
62,a woman sitting at a table with food and drinks
63,a blue van with gold writing
64,a red car parked on the street
65,a plane on the runway
66,a living room with a couch and a table
67,a black animal with a long nose
68,a bicycle parked in the snow
69,a cow eating grass
70,a cat sitting in a window
71,an airplane is parked at an airport
72,a person holding a bottle of beer
73,a tv on a stand
74,a cat with its eyes closed
75,a brown pig on a blue surface
76,a yellow bus on the side of a road
77,a train on the railway tracks
78,a group of men sitting in a room
79,a street with buildings and a person standing on the sidewalk
80,a man sitting at a table
81,a train on the railway tracks
82,a seagull flying over the water
83,a cat sitting on a window sill
84,a person riding a horse
85,a man and woman sitting at a table with drinks
86,a person riding a horse
87,a table and chairs under a tree
88,a bicycle with a basket on the back
89,a horse and a dog standing in a field
90,a person holding a baby
91,a group of dogs lying on a bed
92,a bicycle with a red frame
93,a cat lying on a red and white rug
94,a person riding a bicycle
95,a bicycle parked on the pavement
96,a person on a motorcycle
97,a black sheep with a black nose
98,a bird perched on a tree branch
99,a machine with a hose
100,double decker buses parked in a parking lot
101,a car parked on a sidewalk
102,a person riding a motorcycle
103,a dog in a car
104,a red train on the tracks
105,a person riding a horse
106,a close-up of a windmill
107,a baby in a car seat
108,a green double decker bus
109,a group of plants in pots
110,a group of people in a canoe in a river
111,two men standing on a road
112,a double decker bus on the street
113,a table and chairs in a room
114,a tall building with many windows
115,a cat with a cigarette in its mouth
116,a red couch in a room
117,a man holding a bike
118,a train on a track
119,a microwave on a wall
120,a dog lying on its back
121,a red car with a black background
122,the back of a car
123,a baby bird in the grass
124,a sunset over a field
125,a computer and a keyboard
126,a double decker bus on the street
127,a cell phone with a screen
128,a black and white cow in a pen
129,two birds flying in the sky
130,a white airplane flying in the sky
131,a woman leaning against a window
132,a bottle of wine next to a glass of wine
133,a group of people walking down a hallway
134,a couple of mugs on a window sill
135,a red and white motorcycle
136,a row of motorcycles parked on the side of a street
137,a horse with a long mane
138,a group of people in a living room
139,a close up of a cat
140,a man riding a skateboard
141,a red scooter parked on the side of a road
142,a boat on the water
143,a bus parked on the side of the road
144,a cat lying on a chair
145,a man holding a gun
146,a blue car with a large ship inside
147,a plane flying in the sky
148,a table with cards and currency
149,a bicycle with a box on the back
150,a train on the railway tracks
151,a bus on the street
152,a group of potted plants
153,a table with a vase and flowers on it
154,a large windmill in the desert
155,a boat in the water next to a wind turbine
156,a bus parked on the side of the road
157,a group of people sitting at a table with drinks
158,a cactus in a pot
159,a person holding a blue object
160,a man on a motorcycle
161,a bicycle leaning against a tree
162,a dog standing on a dirt path
163,women sitting on a balcony
164,a man in a white shirt and red tie looking at a tablet
165,a person running on a path
166,a sign on a tree
167,a person lying on a couch with a cat on the lap
168,an airplane taking off
169,a group of cows stand in the middle of a street
170,a dog lying on a bed
171,a bird with a long neck
172,a yellow sports car on a road
173,a train on the railway tracks
174,a red car parked on the side of the road
175,a man holding a bottle
176,a table with chairs around it
177,a cat lying on a chair
178,a boat on the water
179,a group of buses parked on the side of the road
180,a living room with a blue chair and a bookcase
181,a cow and a dog lying in the grass
182,a shelf with a bookcase and a shelf with books
183,a bird perched on a branch
184,a large airplane in a museum
185,a group of cats lying in the grass
186,a cat lying on the ground
187,a white dog lying on the grass
188,a herd of sheep on a hill
189,a horse and a donkey in a fenced in area
190,a bus on the street
191,a horse in a barn
192,a person riding a bicycle
193,a couple of sheep on a rocky hill
194,a sheep grazing by a lake
195,a large monument with a red bus and cars driving on it with Arc de Triomphe in the background
196,a yellow toy car
197,a few yellow buses parked
198,a person driving a small vehicle in the water
199,a passenger plane flying in the sky
200,a person standing on a train
201,a cat lying on a baby
202,a child reading a book
203,a cat lying on a basket
204,birds flying over water
205,a woman petting a dog
206,a train on the railway tracks
207,a bird with a baby owl
208,two dogs playing in the snow
209,a mother and her baby sheep
210,a dog walking on a street
211,a military jet flying
212,a white horse eating grass
213,a bicycle parked on a sidewalk
214,a dog lying on a couch
215,a plane in the air
216,a boat in the water
217,a boat in the water
218,a wooden chair with a cushion
219,a train on the railway tracks
220,a blue truck parked on the grass
221,buses parked in a parking lot
222,a tv and a shelf of video games
223,a person standing on a stool
224,a tv on a shelf
225,a group of bowls with food in them
226,a man holding a bottle and a man with a bicycle
227,a couple of airplanes flying in the sky
228,a man sitting on a couch
229,a person's arm with a large orange object in the middle
230,a couple of cats lying on a couch
231,a bird perched on a branch
232,a motorcycle parked on the side of a road
233,sheep in a foggy field
234,a person sitting on a yellow and red motorcycle
235,a group of glasses on a tile surface
236,a black cat on a blanket
237,a table with a couple of bottles and a box of cigarettes
238,a living room with a fireplace
239,a laptop computer on a desk
240,a bus is parked on the side of the road
241,a broken down boat in the woods
242,text
243,a living room with a fireplace
244,a horse with a person's legs
245,a group of colorful birds
246,a cat with a blue collar
247,a couch outside a building
248,a race car on a track
249,a dog looking at the camera
250,a person holding a bottle of beer
251,a dog lying on a bed
252,a man riding a motorcycle
253,a group of people sitting on a couch
254,a person on a motorcycle
255,a person standing next to a bicycle
256,a horse with a saddle on
257,a large airplane is being loaded with luggage
258,a person riding a horse
259,a red car with a black door
260,a train going through a tunnel
261,a train on the railway tracks
262,a person riding a bike on a road
263,a cow lying down in a pen
264,a person standing in a room
265,a dog lying on a bed
266,a sheep on a hill
267,a couple of bicycles parked in a yard
268,a red telephone booth on the street
269,a room with a table and a chair
270,a person holding a bottle of alcohol
271,a person and a baby
272,a white duck on a beach
273,a close-up of a machine
274,a blue motorcycle parked on the side of a road
275,a train on the tracks
276,a bottle of beer
277,a red and yellow train
278,a train with its doors open
279,a group of cows drinking water
280,a large airplane on the runway
281,a couple of motorcycles parked
282,motorcycles parked on the side of a road
283,a couch with pillows on it
284,a boat on a rocky beach
285,a black dog next to a potted plant
286,a cat on a shelf
287,a couple of trains in a station
288,a couple of cats lying on a bed
289,a large cruise ship in the water
290,a bird with a red beak
291,a bus with a sign on the side
292,a brown cow with a yellow tag
293,a red and yellow train on the tracks
294,a tv on a stand
295,a bottle of soda
