0,1
0,a cat laying on the floor on a rug
1,a bird sitting on the ground in a field
2,a bottle of wine sitting next to a glass
3,a white car parked next to a body of water
4,a black bird standing in the grass
5,a bird is sitting on a flower pot
6,a white bird flying in a field of grass
7,two sheep standing in a field of grass
8,a woman sitting at a table in a room
9,a wooden table with two chairs and a table with plates
10,two red birds sitting on a tree branch
11,an old church with a clock tower in a city
12,two horses are looking out of a wooden barn
13,a sheep and a baby sheep grazing in a field
14,a group of people in the ocean with aogie board
15,a black couch with a black and white blanket on it
16,a brown and white cow standing on the side of a road
17,a group of four chairs sitting at a table
18,a group of dogs pulling a man in a sled
19,a living room with a green couch and a lamp
20,a cat sitting on top of a wooden shelf
21,a silver subway train with its door open at a station
22,a black chair and a stool in front of a red wall
23,a room with a chair and a bed and a book shelf
24,a black and white boat in the water
25,a stuffed animal standing in the sand in a desert
26,a brown cow grazing in a field of grass
27,a black cat sitting on top of a couch
28,a living room with a couch and a table
29,a black and white photo of a train on the tracks
30,a brown and white cow standing in a field
31,a living room with a couch and a fireplace
32,a black motorcycle parked in a parking lot
33,a man holding a baseball bat in front of a train
34,a white dog standing in a field of grass
35,a yellow school bus driving down a street with a fire hydrant
36,a dog laying on the floor under a table
37,a brown horse standing in front of a fence
38,an orange and white cat sleeping on a blanket
39,a double decker bus parked at a gas station
40,a black bird with a red beak on its neck
41,a black and white cat laying on a bed
42,a bike parked on the side of a building
43,a sheep grazing in a field behind a fence
44,a cat sitting on top of a chair
45,a bird is standing in the tall grass
46,an orange and white cat sleeping on a red blanket
47,a plane on a runway with people standing around it
48,an airplane sitting on the runway at an airport
49,two people standing in front of a house with an american flag
50,a laptop computer sitting on top of a table
51,a toy racing car is sitting on a table
52,two people are petting two horses in a field
53,a motorcycle parked on the side of a road
54,a small plane is on display in a museum
55,a group of boats parked in a building
56,a brown and white rabbit sitting on a couch
57,an orange and white cat laying on a blanket
58,a small dog on a leash tied to a tree
59,a motorcycle parked on a sidewalk in front of a building
60,a fighter jet sitting on top of a statue
61,a bird standing next to a pile of flowers
62,a woman sitting at a table with a cake and a bottle of wine
63,a purple pick up truck with graffiti on the back
64,four red double decker buses parked in a parking lot
65,a red and white airplane on an airport runway
66,a living room with a zebra print couch in a room
67,a couple of cows grazing in a field
68,a bike buried in snow in a yard
69,a black and white cow standing in a field
70,a cat sitting on a window sill looking out
71,an airplane is parked on the runway at an airport
72,a man holding up a bottle of beer
73,a television sitting on top of a dresser
74,a black and white cat eating a piece of food
75,a cow standing in front of a blue building
76,a yellow school bus parked on the side of a road
77,a man standing next to a train on the tracks
78,two men standing in a room with a man
79,a city street with buildings and a woman standing on the sidewalk
80,a man sitting at a table with a bottle in front of a computer
81,a train is traveling down the tracks
82,a white bird flying over the water
83,a cat standing on a window sill looking out
84,a woman riding on the back of a horse
85,a man and a woman posing for a picture
86,a person riding a horse jumping over an obstacle
87,a table and chairs in front of a tree
88,a bike parked next to a wall with a basket
89,a horse and a baby horse standing in a field
90,a group of people sitting at a table with a baby
91,three dogs laying on top of a bed
92,a red bike parked in front of a blue house
93,a white cat laying on a colorful floor
94,a man riding a bike in front of a car
95,a yellow bike parked on the side of a street
96,a person riding a blue motorcycle on a track
97,a black sheep is standing in the grass
98,a small bird sitting on top of a wooden post
99,a person is in the door of a red train
100,a white double decker bus parked next to another bus
101,a small blue car parked next to a fence
102,a person riding a green motorcycle on a track
103,a dog sticking its head out the window of a car
104,a red train is sitting on the tracks
105,a person riding a horse pulling a carriage
106,a plane is sitting on top of a monument
107,a baby is sitting in a car seat
108,a green double decker bus parked next to another bus
109,three potted plants sitting on a window sill
110,two men in a boat in the rapids of a river
111,two men standing on the side of a road
112,a double decker bus driving down a city street
113,a dining room table with a vase of flowers on it
114,a group of tall buildings in a city
115,a orange and white cat walking on a table
116,a red couch in a living room with a tv
117,a man is riding a bike in a race
118,a train on the tracks next to a fence
119,a microwave sitting on top of a cabinet
120,a white dog is standing on a couch
121,a red car is sitting on the road
122,a silver car parked in a parking lot
