0,1
0,a man riding a motorcycle on a dirt road
1,a woman eating food
2,a person riding a bicycle
3,a kitchen with a sink and a window
4,a stack of wood
5,a table with many clutter on it
6,a bathroom with a toilet and sink
7,a bathroom with a glass shower
8,people riding bikes on a street
9,a bathroom with a sink and toilet
10,a bathroom with a shelf of toiletries
11,a man wearing glasses and a suit
12,a man riding a motorcycle
13,a street with scooters and people
14,a tv on a stand in a room with a bookcase
15,a group of objects on a table
16,a bunch of bananas are in a basket
17,a motorcycle on a stand
18,a person walking down a flight pad
19,planes parked at an airport
20,a small airplane in the air
21,a red tractor in a field
22,a person riding a wheelchair with a dog
23,a traffic light with a red light
24,a table with a vase of flowers on it
25,a group of people playing in a park
26,a building with snow on the roof
27,birds flying in the sky
28,a boat with a row of flags
29,giraffes and a couple of gazelles in a zoo exhibit
30,a fire hydrant on the sidewalk
31,a bird standing on a pile of leaves
32,a street sign in front of a large building
33,two geese swimming in water
34,a street sign on a pole
35,a large animal standing in a grassy field
36,a man and a woman holding guitars
37,a street sign on a pole
38,a cow is eating grass in front of a store
39,a cow stands in a market
40,a dog eating a banana
41,a cat sitting in a box
42,a white horse and a couple of white cows in a field
43,a cow standing in a field
44,a woman with red hair
45,a group of elephants stand in a zoo exhibit
46,an elephant standing by a tree
47,a kayak and a paddle on a beach
48,boats are parked in the water
49,elephants in the wild
50,a man and woman smiling
51,a woman sitting on a suitcase
52,a woman sitting on a suitcase
53,a child sitting on the floor
54,a dog in a pool
55,a couple of women walking with an umbrella
56,a dog with a can in its mouth
57,a person walking on a sandy beach
58,a man and two dogs on a sandy road with red rocks and blue sky
59,a zebra stands in the grass
60,a zebra standing in the snow
61,zebras and a rhino in a field
62,a group of zebras stand in a field
63,a group of horses
64,a person looking at a horse
65,a man riding a horse
66,a person standing next to a horse
67,a banana and oranges on a table
68,a group of people standing on a dirt path with their hands up
69,a person wearing a costume
70,a person wearing a colorful headdress and a colorful headdress
71,a baseball player throwing a ball
72,a table full of food
73,a man and a girl standing in the snow
74,a girl holding a bowl of ice cream
75,a person wearing a mask
76,a boy riding a skateboard
77,a man talking to a boy
78,a couple of people ride snowboards
79,a girl with her mouth open holding a cup of coffee
80,a man holding a snowboard
81,a bakery with donuts and other pastries
82,a boy eating a sandwich
83,a display of pastries in a store
84,a plate of food
85,a sandwich and two sodas
86,a box of donuts
87,a person in a green shirt
88,a man holding a surfboard
89,a person holding a football ball
90,a man surfing on a wave
91,a group of men playing football
92,a person smiling at a table with a cake on it
93,a baby eating a piece of cake
94,a group of people standing on a field with a football ball
95,a person sitting at a table with a pizza and a drink
96,a baby sleeping on a bed
97,a man and woman sitting on a white couch
98,a pizza with tomatoes and cheese
99,tennis rackets on a tennis court
100,a person eating a slice of pizza
101,a woman holding a tennis racket
102,a couple of pizzas on a table
103,a brown leather couch with pillows
104,a woman eating a sandwich
105,a living room with a couch and a table
106,a group of people working on computers
107,a person is flying a kite on the beach
108,a person flying a kite
109,a man holding a child on a swing
110,kites flying in the sky
111,a clock on a post
112,a baseball player walking toward a batter
113,a baseball player prepares to swing a bat
114,a baseball player holding a bat
115,a boy holding a baseball bat
116,a baseball player prepares to swing a bat
117,a man holding a string of fireworks
118,a person holds a pizza
119,a group of people play tennis
120,a person hitting a tennis ball with a racket
121,a group of people walking outside a building
122,a cup of coffee and a mug
123,a man in a costume
124,a large crowd of people at a festival
125,a man brushing a dog
126,a large building with a clock tower
127,a pile of stuffed animals
128,a street with a building and a clock tower
129,a close-up of a plant
130,a bunch of purple flowers
131,a man holding a large knife
132,a knife and a couple of scissors
133,a group of people posing for a photo
134,a man holding a glass of beer next to a group of people
135,a group of people sitting around a table with wine bottles and glasses
136,a man holding a glass
137,a group of people waiting for their luggage
138,a table full of groceries
139,a person and a dog in a kitchen
140,a man cooking in a kitchen
141,a person sitting on a stool in a kitchen
142,a dog standing next to a person
143,a wooden table with a wooden top
144,a group of people stand on the sidewalk
145,a man riding a bicycle
146,a bathroom with a toilet and a sink
147,a bathroom with a sink and towels
148,a bathroom with a shower
149,a couple of people riding a scooter on a bridge
150,a toilet with a toilet seat
151,a large clock on a building
152,a man and woman riding a motorcycle
153,a group of people walking towards an airplane
154,a red plane flying in the sky
155,a large airplane flying in the sky
156,a plane flying in the sky
157,a small airplane flying in the sky
158,a group of sheep grazing on a field
159,a giraffe standing in the wild
160,a giraffe standing in a field
161,a traffic light is red
162,a street with traffic lights on it
163,giraffes in a zoo exhibit
164,giraffes in a zoo exhibit
165,giraffes in a zoo exhibit
166,a fire hydrant on the sidewalk
167,sheep in a field
168,a person sitting on a bench overlooking the ocean
169,a giraffe standing in a zoo enclosure
170,a couple of ducks swimming in a pond
171,giraffes in a zoo exhibit
172,a giraffe in a zoo exhibit
173,a sign on a pole
174,a giraffe eating grass
175,giraffes eating from a feeder
176,a herd of zebras in a field
177,a herd of sheep grazing
178,a herd of sheep grazing in a field
179,a dog in a kennel
180,a train station with people and cars
181,a red and yellow train on the tracks
182,a stop sign on a snowy mountain
183,people waiting for a train
184,a stop sign with graffiti on it
185,a cat is laying on top of a suitcase
186,a cat sitting on a porch
187,a red firetruck with a group of people in the back
188,a group of people posing for a photo
189,a dog wearing a tie
190,a boat is parked next to a boat
191,boats are parked in the water
192,a man and woman posing for a picture
193,a couple of women walk under umbrellas
194,a cat sitting in a sink
195,a cat lying on a couch
196,a man using a laptop with a cat on his lap
197,a man feeding an elephant
198,a horse with a frisbee in its mouth
199,a dog playing with a ball in the snow
200,a black and silver computer tower
201,a person in a costume holding a sword and a gun in a room with a large group of
202,a dog with a frisbee in its mouth
203,a group of zebras and birds in a field
204,a girl holding a frisbee
205,zebras and gazelles on a field
206,a herd of zebras in a grassland
207,a zebra walking on a dirt path
208,a horse standing in the woods
209,a statue of a person and a child in front of a building
210,a person holding a potato
211,a man riding a surfboard
212,a couple of people cross country skiing
213,a pile of oranges
214,a group of oranges
215,a woman skiing on the snow
216,a baseball player holding a bat
217,a couple of people skiing
218,a person riding a skateboard
219,a person on skis in the snow
220,a person skiing down a slope
221,a group of kids with helmets and bicycles on a skateboard
222,a plate of food
223,a table with food and wine
224,a group of people on skis
225,a person eating a hot dog
226,a man doing a trick on a skateboard
227,a donut with sprinkles on top
228,a fish and a cup of liquid
229,a bowl of ice cream
230,a slice of cake on a plate
231,a person sleeping with a cat on the back
232,a bed with a poster on the wall
233,a person sitting at a table with a birthday cake on it
234,a woman standing next to a cake
235,a couple of women holding a cake
236,two women holding a picture
237,a man is surfing on the waves
238,a group of people stand on a beach
239,a pizza with cheese and toppings
240,a man playing tennis
241,a pizza sits on a table
242,a pizza on a plate
243,a group of people eating at a table
244,a person playing tennis
245,a living room with a couch and a coffee table
246,a man and a boy playing video games
247,a girl playing video games
248,a desk with a laptop and a desktop computer
249,a living room with a tv and a table
250,a dog running in a field
251,a baseball player prepares to swing a bat
252,a baseball player swinging a bat
253,a clock on a tower
254,a person's legs with a guitar in front of them
255,a glass of beer next to a laptop
256,a person holding a cell phone
257,a person holding a cell phone
258,a person putting food in an oven
259,a little girl holding a video game controller
260,a plate of food
261,a baby and a girl holding a stuffed animal
262,a woman sitting at a table
263,a kitchen counter with a pink hat
264,a laptop on a table
265,a kitchen with white cabinets
266,a snake in a corner
267,a toilet in a bathroom
268,a bathroom with a toilet sink and bathtub
269,a bathroom with a washing machine
270,a bathroom with a sink and a window
271,a black cat sitting in a sink
272,a dog sticking its tongue out of a car window
273,a person walking down a street
274,a toilet with a hose attached
275,a sink and toilet
276,a cat on a toilet
277,a cat sitting on a couch
278,a pile of oranges
279,a plane flying in the sky
280,a close-up of a plant
281,a plane flying over a tree
282,a giraffe eating leaves
283,a plane flying over a city
284,a plane flying over a city
285,a giraffe in a field
286,a street light is red
287,a box of candy on a bench
288,a car driving on a road
289,a herd of sheep on the side of a road
290,a child petting a sheep
291,a bird flying over a field
292,a person sitting on a boat
293,a group of people standing on a street with a sign
294,a person sitting in a hospital bed
295,a train on the railway tracks
296,a bird sitting on a power line
297,a bird standing on a branch
298,a football with a flag on it
299,a woman cutting a cake
