0,1,2
0,a dog laying on the floor next to a person.,0.9106076955795288
1,a small tree sitting in the middle of a field.,0.7330214381217957
2,a close up of a can of soda on a wooden bench.,0.83999103307724
3,a body of water with two mountains in the background.,0.9153206944465637
4,a black and white bird standing in the grass.,0.9880923628807068
5,a large elephant standing next to a tree.,0.8574233055114746
6,a white bird flying over a field of grass.,0.9403541684150696
7,a couple of sheep standing next to a fence.,0.9672717452049255
8,a brown dog standing next to a potted plant.,0.972852885723114
9,a wooden table with plates and chairs in a room.,0.9514518976211548
10,a group of birds sitting on a tree branch.,0.9067885875701904
11,a large cathedral with two tall buildings in front of it.,0.79511958360672
12,a brown horse standing behind a wooden fence.,0.9303505420684814
13,a couple of sheep grazing in a field of grass.,0.979035496711731
14,a group of people standing next to a raft in the water.,0.8610218167304993
15,a couch with a bunch of black and white designs on it.,0.7866517305374146
16,a brown cow standing on the side of a road.,0.9007716178894043
17,a group of wooden chairs and tables in a room.,0.912603497505188
18,a man riding a sled with two dogs in the snow.,0.8908522129058838
19,a lamp on a table in front of a living room.,0.8550256490707397
20,a cat laying on top of a wooden bench.,0.9713629484176636
21,a close up of a subway train with its doors open.,0.7953869104385376
22,two laptops sitting on top of a red wall.,0.9441379904747009
23,a man sitting on a bench in front of a wall.,0.8522970080375671
24,a couple of boats sitting in the water.,0.8521239757537842
25,a white dog sitting on a brown couch.,0.8612683415412903
26,a close up of an elephant standing in the grass.,0.9610092639923096
27,a black cat laying on top of a couch.,0.9781673550605774
28,a man holding a slice of pizza on a tie.,0.8513261675834656
29,a black and white photo of a train on the tracks.,0.9730381965637207
30,a white dog standing on the grass next to a brown dog.,0.8838958144187927
31,a living room with a couch and a fireplace.,0.9898667335510254
32,a black motorcycle parked in a parking lot.,0.9515979290008545
33,a group of baseball players standing on a field.,0.7213450074195862
34,a white dog standing in the grass in a forest.,0.9435413479804993
35,a yellow school bus parked on the side of a street.,0.9543738961219788
36,a brown and white dog laying on the floor next to a mirror.,0.9261336326599121
37,a brown horse standing in a field next to a fence.,0.9547037482261658
38,a white cat laying on top of a bed.,0.7918707132339478
39,a group of fog in a gray sky.,0.6409898996353149
40,a grey cat laying on top of a field of grass.,0.8219396471977234
41,a black and white cat laying on the floor.,0.9631912708282471
42,a bicycle parked in front of a building with two windows.,0.9267274141311646
43,a sheep grazing in a field of grass.,0.9118779301643372
44,a cat sitting on top of a chair.,0.9394022822380066
45,a couple of birds sitting in a pile of plants.,0.7815982699394226
46,a cat sleeping on a red couch.,0.9069929122924805
47,a couple of planes sitting on a runway at an airport.,0.8605951070785522
48,a large airplane parked on the runway at an airport.,0.9375585317611694
49,a couple of women standing next to a building.,0.8936458230018616
50,a laptop computer sitting on top of a table.,0.9759176969528198
51,a red fire truck sitting on top of a table.,0.9250009059906006
52,a man and a woman petting a cow.,0.9501173496246338
53,a motorcycle parked on the side of a road.,0.9929810762405396
54,a small plane parked in a museum with a bench.,0.820836067199707
55,a couple of white boats parked in a warehouse.,0.8390319347381592
56,two cats sitting on a couch in a living room.,0.8093326687812805
57,a white cat laying on its back on a table.,0.8687223792076111
58,a dog standing in the leaves with a stick in its mouth.,0.8330710530281067
59,a black motorcycle parked on the side of a building.,0.9677490592002869
60,a large airplane flying in the sky over trees.,0.9078904390335083
61,a large bird sitting on top of a red brick sidewalk.,0.8961352109909058
62,a woman sitting at a table with a cake on it.,0.8839396238327026
63,a laptop computer sitting on the back of a truck.,0.8623930215835571
64,a group of double decker buses parked in front of a building.,0.9394077062606812
65,a white airplane sitting on top of a runway.,0.9441423416137695
66,a living room with a couch and a table.,0.9397261738777161
67,a couple of black cows standing in the woods.,0.8919020295143127
68,a bike parked in the snow in a pile of snow.,0.9077788591384888
69,a black and white cow standing in a field with a fence.,0.8901183605194092
70,a cat sitting on a table looking out a window.,0.9220771789550781
71,a large airplane parked on the runway at an airport.,0.965795636177063
72,a man sitting next to a man in a room.,0.795697808265686
73,a television sitting on top of a table next to a wall.,0.852264404296875
74,a black and white cat laying on its side.,0.8936952948570251
75,a brown dog laying on the floor next to a door.,0.8692620992660522
76,a bunch of trees in front of a building.,0.7727096080780029
77,a train on the tracks with trees and a sky.,0.8148576021194458
78,a couple of men sitting next to each other in a room.,0.8585763573646545
79,a row of buildings on the side of a street.,0.8099136352539062
80,a man looking at his head in front of a wall.,0.8863489627838135
81,a pink and white train on the tracks.,0.8954971432685852
82,a white bird flying over a body of water.,0.9695661664009094
83,a close up of a piece of fabric on a floor.,0.7817275524139404
84,a woman sitting on the back of a horse.,0.9457122683525085
85,a man and a woman sitting next to each other.,0.9317107796669006
86,a young boy riding on a white horse.,0.8998948335647583
87,a close up of a wooden bench under a tree.,0.8259656429290771
88,a bicycle parked next to a wall with a floor.,0.7919595241546631
89,a baby horse standing next to its mother in the grass.,0.831291139125824
90,a woman holding a baby in a room with a table.,0.8521134257316589
91,a group of dogs laying on a bed.,0.970616340637207
92,a red bicycle parked next to a blue door.,0.8273762464523315
93,a white dog laying on the floor.,0.90621018409729
94,a man riding a bike down a street.,0.9410764575004578
95,a yellow bicycle parked next to a street.,0.9254396557807922
96,a person sitting on a motorcycle on a track.,0.8935151100158691
97,a black sheep standing in the grass in a field.,0.9064188003540039
98,a small bird standing on a wooden post.,0.8388752937316895
99,a paper sitting on the side of a red wall.,0.7486629486083984
100,a group of double decker buses parked next to each other.,0.9122152328491211
101,a silver car parked on the side of a building.,0.9112167358398438
102,a man riding on the back of a motorcycle.,0.8523098826408386
103,a dog sitting in the back seat of a car.,0.8805531859397888
104,a red train on the tracks in a field.,0.9249622821807861
105,a person riding a horse on a field.,0.9682706594467163
106,a close up of a plane flying in the sky.,0.8767458200454712
107,a baby sleeping in the back seat of a car.,0.9050872325897217
108,a group of double decker buses parked in a field.,0.9439389705657959
109,a group of potted plants on a table.,0.9640199542045593
110,a couple of men riding a boat on a river.,0.8242506384849548
111,a couple of men standing in front of trees.,0.8962754011154175
112,a double decker bus driving down a city street.,0.9518575668334961
113,a lamp sitting on the side of a door.,0.79645174741745
114,a sail boat in the water in front of a group of tall buildings.,0.8648976683616638
115,a brown dog laying on the floor.,0.9283011555671692
116,a red bed with pillows on top of it.,0.9042900204658508
117,a man sitting on a bike on a street.,0.8555002808570862
118,a train on the tracks in a field.,0.8835411667823792
119,a microwave oven sitting on top of a floor.,0.770946741104126
120,a white teddy bear sitting on top of a couch.,0.958053469657898
121,a red truck parked on the floor in a room.,0.8732198476791382
122,a couple of cars parked in a parking lot.,0.9059021472930908
123,a baby bird laying in the grass in the field.,0.8428834080696106
124,a street sign in front of a cloudy sky.,0.8685368299484253
125,a white computer keyboard and a monitor on a desk.,0.8226345181465149
126,a red double decker bus driving down a city street.,0.9672680497169495
127,a close up of a person on a laptop computer.,0.8564256429672241
128,a baby elephant standing on top of a wooden table.,0.9360783100128174
129,a couple of birds flying in the blue sky.,0.9370933771133423
130,a large airplane flying in the blue sky.,0.915676474571228
131,a woman wearing a suit and tie posing for a picture.,0.7941522002220154
132,a close up of a microwave with a clock on it.,0.7955974340438843
133,a group of people walking in front of a subway train.,0.8924897909164429
134,a green trash can sitting in front of a television.,0.816570520401001
135,a red motorcycle parked in front of a wall.,0.9139052033424377
136,a close up of a motorcycle parked on the street.,0.9158413410186768
137,a brown horse standing behind a fence in a field.,0.888669490814209
138,a group of people playing a video game in a living room.,0.9196534156799316
139,a small dog sitting on top of a table.,0.6978443264961243
140,a man doing a trick on a skateboard in the air.,0.9943180680274963
141,a close up of a camera sitting on the grass.,0.8679267168045044
142,a large boat with ropes on a body of water.,0.831135094165802
143,a double decker bus parked in front of a building.,0.8836483955383301
144,a cat laying on a chair in front of a window.,0.8802735805511475
145,a man wearing a blue shirt and hat riding a bike.,0.7922155261039734
