0,1
0,a bridge over a river
1,a person getting the hair done
2,a train on the railway tracks
3,a kitchen counter with a sink and a window
4,a stack of wood
5,a table with many plates and cups on it
6,a bathroom with a toilet and sink
7,a bathroom with a glass shower
8,people riding bikes on a street
9,a bathroom with a sink and toilet
10,a bathroom with a shelf full of baskets and a toilet
11,a person's legs in black pants and a grey shirt
12,a man on a motorcycle
13,a street with many bicycles parked on the side of it
14,a television on a dresser
15,a painting of a jar and a bowl of food on a table
16,a bunch of bananas are in a basket
17,a motorcycle on a stand
18,a plane parked at an airport
19,an airport with planes parked
20,a small airplane in the air
21,a red and blue motorcycle
22,a dog standing on a paved area
23,a traffic light with a red light
24,a room with a window and trees
25,a group of people playing in a playground
26,a snowy mountain with trees
27,a close up of a white surface
28,a boat with a colorful stripe
29,giraffes and a couple of gazelles in a zoo exhibit
30,a tree and a trampoline
31,a close-up of a red pipe
32,a clock tower with a cross on top
33,two ducks swimming in water
34,a street sign on a pole
35,a sheep standing in a field
36,a man and a woman holding a guitar
37,a street sign on a pole
38,a cow walks down the street
39,a bull tied to a pole
40,a close up of a dog
41,a cat sitting on a chair
42,a house with trees around it
43,a cow standing in a field
44,a person with red hair
45,a baby elephant in an enclosure
46,an elephant in a zoo exhibit
47,a kayak on the beach
48,boats are parked in the water
49,a group of people standing on a hill with a fence and trees
50,a woman and a child sitting on a blue chair
51,a woman sitting on a bench
52,a close-up of some trees
53,a person's face on a white surface
54,a dog in a pool
55,a couple of children walk with umbrellas
56,a black cat lying on a wooden surface
57,a person walking on a beach
58,a close up of a person's foot
59,a zebra stands in the grass
60,a zebra standing in the snow
61,a large field with trees and water in the background
62,a group of zebras stand in a field
63,a group of horses
64,a person is taking a picture of a horse
65,a tall building with a clock on it
66,a white horse with a blue background
67,a banana and oranges on a table
68,a girl throwing a baseball
69,a person smiling with a bunch of bananas on the head
70,a person wearing a colorful headdress and a colorful headdress
71,a baseball player about to throw a ball
72,a table full of food
73,a person and a girl on skis in the snow
74,a person smiling and holding a plate of food
75,a store front with signs
76,a kid skating on a ramp
77,a person holding a skateboard
78,two men in the snow
79,a girl eating food
80,a man standing next to a snowboard
81,a variety of donuts are displayed in a bakery
82,a boy eating a sandwich
83,a group of pastries in a display case
84,a sandwich and salad on a plate
85,a dark room with a light
86,a box of donuts
