0,1,2
0,a man sitting on a motorcycle on a dirt road.,0.9051998853683472
258,a woman standing in front of an oven with a turkey in it.,0.8050633072853088
289,a herd of sheep grazing on the side of a road.,0.9140282273292542
224,a group of people standing in the snow.,0.9220460057258606
133,a group of people sitting at a table.,0.9909960627555847
79,a girl sitting at a table eating a hot dog.,0.9029021859169006
223,a wooden table with bowls of food and wine on it.,0.8979575634002686
134,a group of people sitting around a table with wine glasses.,0.9048144221305847
7,a bathroom with a sink and a shower.,0.9832738637924194
199,a couple of dogs playing in the snow.,0.9100606441497803
148,a bathroom with a toilet and a black wall.,0.8714064359664917
77,a man riding two skateboards on a sidewalk.,0.8926185369491577
9,a bathroom with a sink and a toilet.,0.9940910935401917
251,a young boy holding a baseball bat on a field.,0.9954386353492737
197,a person standing in front of an elephant.,0.9666223526000977
146,a small bathroom with a toilet and a sink.,0.9820960164070129
280,a blue and white airplane flying over a bunch of trees.,0.8688692450523376
256,a person holding two cell phones in their hands.,0.973018229007721
190,a couple of boats sitting on a dock.,0.848243772983551
141,a man sitting in a chair in a kitchen.,0.9732801914215088
287,a book sitting on top of a wooden bench.,0.9533385634422302
70,a young man wearing a colorful hat with bananas on his face.,0.7898691296577454
39,a cow standing next to a table with a bucket.,0.837413489818573
174,a giraffe standing in a field of grass.,0.911017119884491
263,a white oven with a plate of food on top of it.,0.8475883603096008
45,a group of elephants standing in a zoo.,0.9264214038848877
94,a group of young children standing in a field.,0.8206810355186462
108,a man standing in a field with a blue kite.,0.9282895922660828
42,a white horse standing in a field with sheep.,0.8765349388122559
93,a baby eating a piece of cake.,0.9196187853813171
218,a couple of men riding skateboards on a sidewalk.,0.9073068499565125
173,a couple of street signs on a pole.,0.9573484659194946
264,a laptop computer sitting on top of a wooden table.,0.8943821787834167
101,a woman standing in a room with a suitcase.,0.7981582880020142
216,a man and a man playing baseball on a field.,0.8991349339485168
30,a yellow fire hydrant with a blue umbrella on a sidewalk.,0.9541127681732178
37,a group of signs in front of a building.,0.919841468334198
106,a group of men sitting at a desk with computer monitors.,0.9084692597389221
211,a person riding a wave on a board in the water.,0.8956333994865417
26,a herd of sheep standing in front of a fence.,0.9786441326141357
200,a couple of speakers and a cell phone on a table.,0.7520996332168579
117,a man standing under a bunch of fireworks.,0.8364948630332947
207,a close up of a zebra standing on a dirt road.,0.8962158560752869
110,a kite flying in the blue sky.,0.9479531049728394
21,a motorcycle parked in a dirt field next to a fence.,0.9578094482421875
209,a statue of a horse in front of a building.,0.8814722895622253
82,a young boy sitting on a bench eating a toy.,0.8834452033042908
53,a young child wearing a shirt and tie standing next to a table.,0.8630859851837158
275,a white bathroom with a toilet and a box on the floor.,0.9013371467590332
162,a city street at night with traffic lights.,0.9805924892425537
272,a couple of dogs sitting in the back seat of a car.,0.9446455836296082
165,a couple of giraffes standing in a field with a bus.,0.9835879802703857
28,a group of flags hanging from a pole over a river.,0.914471447467804
119,a group of people standing on a tennis court.,0.999463677406311
85,a couple of cups of coffee on a table.,0.8297706246376038
54,a brown dog standing next to a swimming pool.,0.9040907025337219
150,a white toilet sitting on top of a floor.,0.8629358410835266
296,a couple of birds sitting on top of a power pole.,0.8922300934791565
247,a young boy holding a video game controller.,0.966354250907898
181,a red train sitting on the tracks.,0.8820379376411438
61,a couple of zebras and other animals grazing in a field.,0.9508602023124695
66,a woman standing next to a white horse.,0.9537069201469421
157,a red airplane flying in a blue sky.,0.9616036415100098
291,a couple of birds standing in a field.,0.9188762903213501
240,a man standing on a tennis court holding a racket.,0.965112030506134
186,a cat sitting in front of a window.,0.9270968437194824
125,a woman petting a stuffed animal on a window sill.,0.8030326962471008
232,a bedroom with a bed and pictures on the wall.,0.8816007375717163
68,a group of children playing baseball on a field.,0.9421225190162659
159,a tall giraffe standing in a field.,0.9763966202735901
188,a black and white photo of a group of people.,0.9192699193954468
14,a white pillow sitting on a bed in front of a television.,0.8159649968147278
298,a man wearing a blue hat with a tie.,0.8291495442390442
249,a living room with a couch and a table.,0.9157123565673828
13,a row of motorcycles parked on the side of a building.,0.918660044670105
122,a close up of a coffee cup on a table.,0.9186606407165527
235,a woman sitting at a table holding a book.,0.8966391682624817
36,a woman holding a snowboard in her arms.,0.858501672744751
107,a person flying a kite on the beach.,0.862187385559082
210,a person holding a piece of food in their hand.,0.880225419998169
100,a young baby eating a piece of pizza.,0.8403762578964233
217,a man riding skis down a snow covered slope.,0.9794523119926453
31,a black bird sitting on the ground next to a chair.,0.7452223300933838
43,a black cow walking in a field of grass.,0.8532692790031433
92,a woman holding a cake with a table.,0.9000942707061768
219,a person riding skis down a snow covered slope.,0.8978360891342163
172,a couple of giraffes and a zebra in a zoo.,0.9332459568977356
265,a kitchen with white cabinets and a stove and a window.,0.9068253040313721
38,a baby donkey standing on the street in front of a building.,0.8027636408805847
175,a couple of giraffes standing next to a rock.,0.9537042379379272
262,a woman sitting at a table with a brick wall.,0.9561572074890137
44,a close up of a young man with a face.,0.8253507018089294
95,a man sitting at a table with a plate of food.,0.9607623815536499
109,a little girl sitting on a pole flying a kite.,0.8028244376182556
257,a woman in a blue sweater holding a cell phone.,0.9210888147354126
191,a group of boats sitting on the water.,0.942028284072876
140,a woman standing on a table in a room.,0.9144864678382874
286,a couple of traffic lights on a city street at sunset.,0.9139906764030457
71,a baseball player throwing a ball on a field.,0.9727351069450378
76,a man doing a trick on a skateboard on a ramp.,0.9052423238754272
8,a couple of people riding bikes down a sidewalk.,0.9239909052848816
250,a man flying a kite in a park with a dog.,0.9199636578559875
196,a man sitting on a couch with a laptop.,0.9283439517021179
147,a couple of towels hanging on the door of a room.,0.8798006176948547
281,a couple of planes flying over a field of flowers.,0.8070029616355896
78,a couple of men riding snowboards down a snow covered slope.,0.9684010148048401
222,a bunch of fruits and vegetables on a table.,0.9255318641662598
135,a group of people sitting around a table with wine.,0.9172505140304565
6,a white bathroom with a toilet and a sink.,0.907561719417572
198,a dog playing with a frisbee in front of a body of water.,0.8825042247772217
149,a wooden structure sitting on the side of a road.,0.8283877372741699
1,a woman sitting at a table eating a piece of food.,0.8982862234115601
259,a young girl playing a video game with a remote.,0.8086605072021484
288,a green traffic light on the side of a street.,0.9369785189628601
225,a man sitting on a sidewalk talking on a cell phone.,0.916278600692749
132,a carrot sitting on top of a green surfboard.,0.8295862674713135
299,a young girl in a suit standing in front of a birthday cake.,0.9106654524803162
248,a desk with two computer monitors and two keyboards.,0.8843294382095337
12,a couple of men sitting on a motorcycle.,0.9864814281463623
123,a man in a brown jacket holding a baby on a bench.,0.8214958906173706
234,a woman holding a cake with a table.,0.8951440453529358
124,a crowd of people in front of a building with a clock tower.,0.9404935240745544
233,a group of children sitting at a table with birthday cake.,0.942153811454773
69,a young child wearing a bunch of bananas on his head.,0.8509051203727722
158,a group of sheep grazing on a field next to the ocean.,0.8852648735046387
189,a close up of a dog sitting on the floor.,0.9026544690132141
15,a glass vase with fruit and a mirror on a table.,0.7967217564582825
67,a couple of bananas sitting on top of plates.,0.8603102564811707
156,a large airplane flying in the blue sky.,0.9499174356460571
290,a woman standing next to a sheep.,0.9138772487640381
241,a close up of a pizza on a table with a glass of wine.,0.9800150990486145
187,a red fire truck parked in a room with people.,0.8093035221099854
151,a large clock on the side of a building.,0.9640520811080933
297,a close up of a bird in a cage.,0.7932708263397217
246,a couple of people standing in a living room playing a video game.,0.9379855990409851
180,a couple of buses and a train at a train station.,0.9454255700111389
60,a zebra standing in the snow in a field.,0.923605740070343
273,a group of cars and buses on a city street.,0.9624001979827881
164,a giraffe eating hay from a feeder in a forest.,0.868750274181366
29,a group of giraffes standing in a field of grass.,0.9157343506813049
118,a person holding a pizza in their hand.,0.9266265034675598
84,a white plate with a sandwich and a salad and a pickle.,0.9656665325164795
55,a group of girls walking in the rain with umbrellas.,0.8831808567047119
208,a brown horse standing in the middle of a forest.,0.915838360786438
83,a group of trays of pastries in a display case.,0.7339234352111816
52,a woman sitting on the ground talking on a cell phone.,0.8794461488723755
274,a white toilet in a bathroom with a shower.,0.9520385265350342
163,a couple of giraffes standing next to a fence.,0.9973050951957703
206,a group of zebras standing in a field.,0.971387505531311
111,a clock tower on the side of a street.,0.9195483326911926
20,a small plane parked in the grass in a field.,0.8316025733947754
27,a flock of birds flying in the sky.,0.9212408065795898
201,a group of signs on the floor of an airport.,0.8815467357635498
116,a baseball player holding a bat on a field.,0.996778130531311
127,a group of stuffed animals sitting on a table.,0.9138914942741394
230,a piece of chocolate cake on a white plate.,0.9430021643638611
16,a bunch of bananas sitting in a box.,0.9125520586967468
11,a man in a suit and tie standing next to a wall.,0.8909067511558533
120,a young man holding a tennis racket at a ball.,0.9360350966453552
237,a man riding a wave on a paddle board in the ocean.,0.9342713356018066
294,a man sitting on a bench in an office.,0.9595540761947632
152,a man sitting on a motorcycle on the street.,0.8828224539756775
183,a red and yellow train at a train station.,0.980058491230011
245,a living room with a couch and a coffee table.,0.9821640849113464
239,a pizza sitting on top of a plate.,0.9006356596946716
63,a group of wooden horses with white horses on it.,0.7419611215591431
129,a doll standing next to a bunch of white flowers.,0.792976438999176
64,a young boy standing next to a horse in front of a house.,0.8764452338218689
293,a person riding on the back of an elephant in a street.,0.8073733448982239
155,a large airplane flying in the sky.,0.8853324055671692
184,a close up of a red stop sign.,0.8404413461685181
242,a pizza sitting on top of a plate on a table.,0.8549413681030273
18,a large airplane parked on the runway at an airport.,0.8514389395713806
80,a young man in a blue shirt and tie standing in an airport.,0.8286227583885193
51,a woman sitting on top of a suitcase.,0.9914596676826477
277,a black and white black and white cat laying on a couch.,0.8728330135345459
160,a close up of a giraffe standing in front of a background.,0.9188016653060913
270,a small bathroom with a shower and a window.,0.8939291834831238
167,a group of sheep grazing in a field.,0.9373060464859009
87,a young man wearing a green tie standing in a room.,0.8741432428359985
56,a black dog sitting on the floor next to a plate of food.,0.9766543507575989
169,a giraffe standing in front of a building.,0.9538610577583313
24,a vase of flowers sitting on a table in front of a window.,0.8896311521530151
202,a brown dog holding a frisbee in its mouth.,0.9696033000946045
115,a person standing in the grass on a field.,0.8784869313240051
89,a person standing on a field with a tennis racket.,0.8443139791488647
58,a woman walking down a dirt road in front of a mountain.,0.943888783454895
205,a couple of zebras and other animals standing in a field.,0.9362195730209351
112,a baseball player holding a bat on a field.,0.9809665083885193
279,a large airplane flying through a blue sky.,0.9385666847229004
23,a group of traffic lights with a blue sky.,0.9238193035125732
103,a brown chair with two remote controls on it.,0.8898403644561768
214,a close up of an orange fruit on a table.,0.9052551984786987
32,a black and white photo of a large building with a street sign.,0.9484670758247375
268,a bathroom with a toilet and a sink.,0.9590287804603577
35,a sheep standing in a field of grass.,0.9907518625259399
178,a herd of sheep grazing in a field.,0.9462454319000244
49,a large elephant walking in a field with a baby elephant.,0.9386553764343262
98,a close up of a pizza on a white plate.,0.9416777491569519
104,a young man holding a toothbrush in his mouth.,0.8082438111305237
213,a pile of oranges sitting next to each other.,0.9324146509170532
176,a herd of sheep grazing in a field.,0.9559428691864014
261,a young boy holding a stuffed elephant in a room.,0.8246795535087585
47,a traffic light on the ground next to the water.,0.8280282616615295
96,a baby laying on a bed with a baby.,0.7944673895835876
40,a baby elephant eating a banana from a person.,0.9194825291633606
91,a group of men playing a game of soccer.,0.9290197491645813
171,a couple of giraffes standing next to a brick wall.,0.9710425734519958
266,a drain on the floor next to a wall.,0.748989462852478
75,a woman riding a skateboard down a street.,0.9525402188301086
138,a bunch of vegetables and a pot on a table.,0.7956628799438477
195,a cat sleeping on a couch with a blanket.,0.8042858839035034
253,a large clock on the side of a building.,0.9607955813407898
282,a group of birds sitting on a rock in front of trees.,0.7933087944984436
144,a couple of people standing on a sidewalk with a skateboard.,0.9259518980979919
192,a group of large dogs standing next to each other.,0.8036129474639893
254,a person sitting on a couch with a laptop.,0.9281909465789795
285,a giraffe standing next to a body of water.,0.9946522116661072
143,a wooden kitchen shelf with pots and pans on it.,0.7851081490516663
72,a group of sandwiches on a plate with a salad.,0.8613253831863403
228,a cup of coffee sitting next to a piece of paper on a table.,0.7906659841537476
2,a man walking in front of a red train.,0.9468967318534851
226,a group of people standing on a skateboard.,0.942296028137207
131,a man in a plaid shirt and tie.,0.871125340461731
221,a couple of young boys standing next to a toy motorcycle.,0.8747226595878601
136,a man holding a cell phone in a room.,0.9362606406211853
5,a wooden clock sitting on top of a table.,0.7882968783378601
204,a little girl holding a red frisbee in the grass.,0.943389356136322
113,a baseball player holding a bat on a field.,0.9997671246528625
278,a group of oranges sitting in a bowl.,0.8903355598449707
22,a man sitting on a bench with a white dog.,0.981640636920929
168,a man sitting on a bench next to a body of water.,0.927726149559021
25,a group of people standing on a sidewalk.,0.9107673764228821
203,a group of zebras standing in a field with a bird.,0.9898566007614136
114,a young boy holding a baseball bat on a field.,0.8368052840232849
88,a woman standing in a wet suit holding a surfboard.,0.923315167427063
59,a close up of a zebra standing in the grass.,0.9204931855201721
271,a black cat standing in a bathroom sink.,0.9482513666152954
166,a yellow fire hydrant sitting next to a group of benches.,0.8975236415863037
86,a group of donuts in boxes sitting on a table.,0.7993383407592773
57,a man walking on a beach in a wet suit.,0.8952740430831909
81,a couple of sandwiches sitting on top of trays of donuts.,0.9144294857978821
50,a young girl holding a blue suitcase.,0.8188410997390747
276,a cat standing on top of a white toilet.,0.9113216996192932
161,a red traffic light in front of tall buildings at night.,0.8451511263847351
128,a group of buildings on the side of a street.,0.9299909472465515
65,a person riding a horse in front of a train.,0.9475462436676025
292,a young man sitting on the front of a boat.,0.8023691177368164
154,a red and black plane flying in the sky.,0.9151860475540161
185,a brown dog standing on top of a red suitcase.,0.8311503529548645
243,a man and a woman sitting at a table eating pizza.,0.9780274033546448
19,a view of airplanes parked at an airport.,0.8268517851829529
295,a couple of train cars sitting on the tracks.,0.8635613918304443
153,a large airplane parked in a field with people.,0.8597191572189331
182,a stop sign covered in snow next to a street sign.,0.8247482776641846
244,a man standing on a blue tennis court holding a racket.,0.9245891571044922
238,a group of people standing on the beach with surfboards.,0.9606494307518005
62,a zebra standing in a field of grass and trees.,0.8967082500457764
10,a wooden chair sitting in front of a bathroom sink.,0.8479748964309692
121,a group of people standing in front of a building.,0.8725894689559937
236,a couple of women sitting at a table with a tie.,0.8623766303062439
126,a large building with a clock tower on top of it.,0.970746636390686
231,a man sleeping on a couch next to a cat.,0.8392940163612366
17,a wooden bicycle sitting in a room with a table.,0.8048390746116638
220,a person riding skis down a snow covered slope.,0.9941772818565369
137,a group of people standing around an airport with luggage.,0.9220942258834839
4,an apple sitting on top of a cutting board.,0.8119831681251526
3,a kitchen with a sink and two windows.,0.9141546487808228
227,a group of flowers in a box next to a cup of coffee.,0.8496216535568237
130,a bunch of purple flowers in a vase.,0.9347888827323914
193,a couple of women walking down a street with umbrellas.,0.9667739868164062
255,a laptop computer sitting on top of a table next to a glass.,0.9467676281929016
