0,1
0,a cat laying on the floor on a rug
1,a bird sitting on the ground in a field
2,a bottle of alcohol and a glass on a table
3,a car parked next to a large body of water
4,a black bird standing in the grass
5,a bird sitting on top of a flower pot
6,a white bird flying in a field of grass
7,two sheep standing on the back of a brown sheep
8,a woman standing in front of a table
9,a wooden table with two chairs and a table with plates
10,two red birds sitting on a tree branch
11,a church with cars parked in front of it
12,two horses are looking out of a wooden barn
13,a sheep and a baby lamb grazing in a field
14,a group of people in the ocean with aogie board
15,a black couch in a living room with a lamp
16,a brown and white cow standing on the side of a road
17,a group of four chairs sitting at a table
18,a group of people riding on a sled pulled by dogs
19,a living room with a green couch and red walls
20,a cat sitting on top of a wooden box
21,a reflection of a train with an open door
22,a black chair and a stool in front of a red wall
23,a large metal object sitting on a couch
24,a black and white boat in the water
25,a dog standing in the middle of a desert
26,a brown cow grazing in a field of grass
27,a black cat sitting on top of a couch
28,a living room with a couch and a table and a chair
29,a black and white photo of a train on the tracks
30,a brown and white cow standing behind a fence
31,a living room with a couch and a fireplace
32,a black motorcycle parked in a parking lot
33,a man holding a baseball bat next to a train
34,a brown and white dog standing in the grass
35,a yellow school bus driving down a street with a fire hydrant
36,a dog laying on the floor under a table
37,a brown horse standing in front of a fence
38,an orange and white cat sleeping on a blanket
39,a double decker bus parked at a gas station
40,a close up of a bird with a red beak
41,a black and white cat laying on a bed
42,a bike parked on the side of a building
43,a sheep grazing in a field behind a fence
44,a cat sitting on top of a table next to a chair
45,a bird is standing in the tall grass
46,an orange and white cat sleeping on a bed
47,a small plane sitting on the runway of an airport
48,a delta connection airplane sitting on an airport runway
49,a man and a woman standing in front of a house
50,a laptop computer sitting on top of a table with drinks
51,a model of a racing car on a table
52,a man and a woman standing next to two horses
53,a motorcycle parked on the side of a road
54,a small plane is on display in a museum
55,three boats are on display in a building
56,a brown and white rabbit sitting on a bed
57,an orange and white cat laying on a table
58,a brown dog with a leash standing on the ground
59,a motorcycle parked on a sidewalk in front of a store
60,a fighter jet sitting on top of a statue
61,a bird standing next to a pile of flowers
62,a woman sitting at a table with a cake and a bottle of wine
63,a purple pick up truck with graffiti on the back
64,a row of buses parked in front of a building
65,a red and white airplane on an airport runway
66,a living room with a zebra print couch in a room
67,two cows standing in a field eating hay
68,a bike buried in snow in a yard
69,a black and white cow standing in a field
70,a cat sitting on a window sill looking out
71,an airplane is parked on the runway at an airport
72,a man is holding a bottle of beer
73,a television sitting on top of a table
74,a black and white cat sitting on a couch
75,a cow standing in the doorway of a blue house
76,a yellow school bus driving down a street
77,a train on the tracks with a man standing next to it
78,two men standing in front of a table with a man
79,a woman walking down a street next to buildings
80,a man is holding a bottle of beer next to a computer
81,a train is traveling down the tracks
82,a white bird flying over the water
83,a cat standing on a window sill looking out
84,a woman in a cowboy hat riding a horse
85,a man and a woman sitting at a table with glasses
86,a person riding a horse jumping over an obstacle
87,a wooden table and chair next to a tree
88,a bike parked on the floor in a room
89,a horse and a baby horse standing in a field
90,a man and a woman holding a baby
91,three dogs laying on top of a bed
92,a red bike parked next to a blue building
93,a white cat laying on a colorful floor
94,a man riding a bike in front of a car
95,a yellow bike parked next to a pole
96,a person riding a blue motorcycle on a track
97,a black sheep is standing in the grass
98,a small bird sitting on top of a rock
99,a red train with a person sitting in the door
100,a double decker bus parked next to another bus
101,a small blue car parked next to a fence
102,a person riding a green motorcycle on a track
103,a dog sticking its head out of a car window
104,a red train is traveling down the tracks
105,a person riding a horse pulling a cart
106,a plane sitting on top of a monument
107,a young boy sitting in a car seat
108,a green and white double decker bus parked in a field
109,three potted plants sitting on a window sill
110,two men in a boat in the rapids of a river
111,two men standing on the side of a road
112,a double decker bus driving down a city street
113,a dining room table with chairs and a vase of flowers
114,an aerial view of tall buildings in a city
115,a orange and white cat walking on a shelf
116,a living room with a red couch and a tv
117,a man is riding a bike with a racket
118,a train is on the tracks near a fence
119,a microwave sitting on top of a wall
120,a white dog is sitting on a couch
121,a red car is parked on a street
122,a silver car parked in a parking lot
