0,1
0,a train traveling over a bridge over a river
1,a woman is lighting candles on a cake
2,a red and white train is parked at a station
3,a kitchen with a sink and a window
4,a bunch of wooden benches sitting on a table
5,a wooden table topped with lots of wooden utensils
6,a bathroom with a toilet and a sink
7,a bathroom with a shower and a sink
8,a man riding a bike down a street
9,a bathroom with a sink and a toilet in it
10,a bathroom with a sink toilet and mirror
11,a person in a black jacket and a black shirt
12,a man riding on the back of a motorcycle
13,a motorcycle parked on the side of a street
14,a bedroom with a bed and a painting on the wall
15,a vase with a toothbrush and a cup on it
16,a bunch of bananas sitting on a table
17,a motorcycle parked next to a wooden fence
18,a large jetliner sitting on top of an airport tarmac
19,a semi truck is driving down the street
20,a small airplane is on the grass
21,a red and black motorcycle parked on a dirt field
22,a couple of people riding on the back of a white horse
23,a traffic light with a green light
24,a table with a vase of flowers on it
25,a group of people walking down a sidewalk
26,a flooded area with trees in the background
27,a blurry photo of a blurry image of a bird
28,a boat that is floating in the water
29,a giraffe is eating leaves from a tree
30,a person is standing in front of a fountain
31,a black bird is standing on a bird
32,a tall building with a clock on it
33,a duck is swimming in the water
34,a close up of a street sign with a sky background
35,a sheep standing on a lush green field
36,a couple of people standing next to each other
37,a couple of street signs on a pole
38,a cow is standing in front of a store
39,a cow is standing next to a fire hydrant
40,a cat is eating a banana on a couch
41,a cat sitting on a chair next to a table
42,a tall building with a palm tree in the background
43,a black and white cow standing in a field
44,a close up of a black and white background
45,a herd of elephants walking across a dirt field
46,a large elephant standing next to a tree
47,a couple of surfboards sitting on top of a beach
48,a group of boats parked in a harbor
49,an elephant standing in the middle of a field
50,a couple of women sitting on a bench
51,a woman sitting on a bench with a suitcase
52,a suitcase sitting on the ground in the woods
53,a little girl sitting on the floor with a suitcase
54,a dog is laying on the edge of a pool
55,a couple of people walking down a street
56,a black dog laying on a wooden floor
57,a person on a beach with a surfboard
58,a person riding a horse on a dirt road
59,a zebra is eating grass in a field
60,a zebra standing in the snow near a fence
61,a group of zebras grazing in a field
62,a couple of zebras are standing in a field
63,a group of horses standing in front of a wall
64,a woman standing next to a brown and white horse
65,a close up of a bird flying in the sky
66,a white horse standing on top of a sandy beach
67,a banana and an orange in a box
68,a couple of people that are in the grass
69,a woman with a bunch of bananas on her head
70,a woman holding a bunch of yellow bananas
71,a baseball player is getting ready to pitch the ball
72,a plate with a sandwich and fries on it
73,a young girl is standing in the snow
74,a man holding a plate of food
75,a woman standing on a sidewalk holding a skateboard
76,a man is doing a trick on a skateboard
77,a man riding a skateboard down a street
78,a couple of people that are standing in the snow
79,a woman holding a toothbrush in her mouth
80,a man wearing a blue shirt and tie
81,a display case filled with lots of donuts
82,a young boy holding a banana in his hand
83,a display case in a bakery filled with lots of donuts
84,a white plate topped with a sandwich and salad
85,a bathroom with a toilet and a glass of water
86,a box filled with lots of different flavored donuts
87,a man in a shirt holding a tennis racquet
88,a man standing on a beach holding a surfboard
89,a soccer player is kicking a soccer ball
90,a black and white photo of a bunch of birds
91,a couple of men playing a game of soccer
92,a woman in a red dress cutting a pizza
93,a baby is eating a piece of cake
94,a group of young people standing next to each other
95,a person sitting at a table with a plate of pizza
96,a bed with a red and white comforter
97,a close up of a shadow of a cat
98,a close up of a pizza on a plate
99,a tennis racket with a tennis racket on it
100,a young boy eating a piece of pizza
101,a woman holding a tennis racquet on a tennis court
102,a pizza sitting on top of a wooden cutting board
103,a couch with a pillow on top of it
104,a close up of a mans face and a head
105,a living room filled with furniture and a dog
106,a group of people sitting in a room with computers
107,a boat that is sitting in the ocean
108,a close up of a black and white sky
109,a woman is holding a kite in the air
110,a kite is flying high in the sky
111,a clock on a pole on a city street
112,a baseball player swinging a bat at a ball
113,a baseball player swinging a bat at a ball
114,a baseball player holding a bat on a field
115,a young man in a baseball uniform standing on a field
116,a large crowd of people watching a crowd of people
117,a man holding a baseball bat on a field
118,a pizza sitting on top of a metal pan
119,a group of people standing on top of a tennis court
120,a couple of tennis players on a court
121,a clock on the side of a building
122,a cup of coffee next to a cup of coffee
123,a man is sitting on a bench with a cell phone
124,a bird flying over a tree in a forest
125,a man holding a dog in a room
126,a large building with a clock on it
127,a close up of a stuffed animal on a blanket
128,a building with a clock on the side of it
129,a close up of a plant in a plant
130,a white vase sitting on top of a table
131,a man is holding a pair of scissors
132,a close up of a pair of scissors and a pair of scissors
133,a group of people sitting at a table
134,a group of people sitting around a wooden bench
135,a group of people sitting at a table
136,a man holding a wine glass in a kitchen
137,a group of people standing next to each other
138,a variety of vegetables are on a table
139,a woman standing in a kitchen next to a stove
140,a close up of an old fashioned stove
141,a man sitting on a chair in a kitchen
142,a kitchen with a sink and a refrigerator
143,a kitchen with a lot of pots and pans
144,a couple of people standing next to each other
145,a black and white photo of a cat
146,a bathroom with a toilet sink and mirror
147,a bathroom with a sink and a mirror
148,a bathroom with a toilet and a sink
149,a wooden structure with a train on it
150,a white toilet sitting in a bathroom next to a toilet
151,a large building with a clock on the front of it
152,a man riding on the back of a motorcycle
153,a group of people standing next to a plane
154,a red and white plane flying in the sky
155,a large jetliner flying through a blue sky
156,an airplane flying in the air with a sky background
157,a red and yellow airplane flying in the sky
158,a herd of cattle grazing on a beach
159,a giraffe standing in a dry grass field
160,a close up of a giraffe with a sky background
161,a traffic light sitting on the side of a building
162,a city street with traffic lights and street lights
163,a giraffe standing on top of a dirt field
164,a giraffe standing next to a tree in a forest
165,a couple of giraffe standing next to each other
166,a wooden bench sitting in front of a building
167,a herd of sheep standing on top of a lush green field
168,a man is standing in front of a yellow wall
169,a giraffe standing on a dirt ground next to a building
170,a couple of birds are standing in the water
171,a couple of giraffe standing next to each other
172,a zebra and a giraffe in a zoo
173,a street sign that is on a pole
174,a giraffe bending down to eat grass in a field
175,a couple of giraffe standing next to each other
176,a herd of sheep standing on top of a grass covered field
177,a herd of sheep standing on top of a dry grass field
178,a flock of birds flying in the sky
179,a dog is sleeping on the back of a truck
180,a car is driving down the highway in the city
181,a red train is traveling down the tracks
182,a stop sign is covered in snow in the snow
183,a red and yellow train at a train station
184,a stop sign with graffiti on it
185,a cat is laying on a red suitcase
186,a cat is looking out of a window
187,a fire truck parked in a parking lot
188,a black and white photo of a group of people
189,a brown and white dog wearing a tie
190,a close up of a bench on a beach
191,a group of boats parked in a harbor
192,a couple of people standing next to each other
193,a couple of people walking down a street holding umbrellas
194,a cat laying on top of a bathroom sink
195,a cat laying on a blanket with a red blanket
196,a cat laying on a persons lap in front of a laptop
197,a person standing next to an elephant
198,a dog jumping up to catch a frisbee
199,a dog is playing with a toy in the snow
200,two pieces of luggage sitting on a white surface
201,a man with a backpack and a suitcase
202,a close up of a brown and black dog
203,a herd of zebra standing on top of a dirt field
204,a garden filled with lots of plants and flowers
205,a herd of zebra standing on top of a dirt field
206,a herd of zebra standing on top of a dry grass field
207,a zebra standing on top of a dirt field
208,a brown horse is standing in the woods
209,a statue of a man riding a horse in front of a building
210,a close up of a plate of food on a table
211,a man riding a wave on top of a surfboard
212,a snowy mountain with trees in the background
213,a pile of oranges sitting on top of each other
214,a pile of oranges sitting on top of a blanket
215,a person riding skis down a snow covered slope
216,a baseball player swinging a bat at a ball
217,a group of people standing on top of a snow covered slope
218,a black and white photo of a woman standing on a sidewalk
219,a woman in a red jacket skiing down a hill
220,a man riding skis down a snow covered slope
221,a couple of people that are on a motorcycle
222,a bowl of fruit and vegetables on a table
223,a table topped with plates and bowls of food
224,a group of people standing on top of a snow covered slope
225,a man is eating a hot dog in the street
226,a man is doing a trick on a skateboard
227,a chocolate cake with raspberries on top of it
228,a close up of a cup of coffee on a table
229,a bowl of soup with a spoon in it
230,a piece of cake sitting on top of a white plate
231,a man sleeping on a bed with a cat
232,a bedroom with a bed that has a blanket on it
233,a group of people sitting around a table with a cake
234,a woman is holding a box with a cake
235,a couple of women sitting at a table with a cake
236,a woman holding a box with a cake
237,a man in the water holding a kite
238,a group of people with surfboards on the beach
239,a close up of a pizza on a plate
240,a man standing on a tennis court holding a racquet
241,a pizza sitting on top of a wooden table
242,a close up of a plate of food on a table
243,a man sitting at a table with two pizzas
244,a shirtless man standing on a red surface
245,a living room filled with furniture and a lamp
246,a couple of men standing next to each other
247,a young girl is playing a video game
248,a desk with two monitors and a laptop
249,a living room filled with furniture and a table
250,a large building with a large building in the background
251,a baseball player standing on top of a field
252,a baseball player swinging a bat on a field
253,a clock that is on top of a building
254,a person laying on a bed with a blanket
255,a laptop computer sitting on top of a table
256,a person holding a cell phone in their hand
257,a christmas tree with a christmas tree in it
258,a woman putting a pizza into an oven
259,a little girl is brushing her teeth with a blow dryer
260,a close up of a plate of food on a table
261,a woman holding a teddy bear next to a young girl
262,a woman in a bikini sitting at a table
263,a kitchen with a microwave oven and stove
