0,1
0,a person sitting on a bench on top of a mountain
1,a woman is eating food with a fork
2,a man riding a bike next to a train
3,a kitchen with a sink and a stove and a window
4,a group of wooden utensils on a wooden table
5,a wooden table with lots of wooden utensils on it
6,a bathroom with a shower and a toilet and a sink
7,a bathroom with a shower and a toilet and a sink
8,a group of people riding bikes down a city street
9,a bathroom with a sink and a toilet
10,a room with a shelf with baskets on it
11,a man wearing a black shirt and a tie
12,a man sitting on top of a motorcycle
13,a row of motorcycles parked next to a building
14,a room with a tv on a dresser next to a window
15,a painting of a vase and fruit on a table
16,a bunch of bananas sitting in a wooden box
17,a motorcycle parked in front of a bunch of wine bottles
18,an airplane parked at an airport with a boarding gate
19,a view from an airport window of an airport runway with planes
20,a small blue and white plane flying in the air
21,a motorcycle parked in a field with a herd of animals
22,a man sitting on a bench with a white dog
23,a traffic light with two red and green lights
24,a dining room with a wooden table and windows
25,a group of people standing around a play structure
26,a herd of sheep in a field near a barn
27,a group of birds flying in the sky over the water
28,a boat with a tent and a swan in the water
29,two giraffes eating leaves from a tree in a field
30,a yellow fire hydrant in front of a house
31,a black bird standing in a flower pot
32,a black and white photo of a building with a clock tower
33,two ducks swimming in a body of water
34,a street sign on a pole with a parking clays sign
35,a sheep standing in the grass in a field
36,two people dressed up in costumes with a snowboard
37,a group of street signs in front of a house
38,a cow walking down the street in front of a store
39,a cow standing next to a blue bucket in a market
40,a cat eating a banana with a person feeding it
41,a cat sitting on a chair looking at the camera
42,a cow standing in a field with two laying down
43,a black and white cow standing in a field
44,a painting of a woman with black dots on her face
45,an elephant walking in front of a crowd of people
46,an elephant is standing next to a tree
47,two kayaks sitting on a beach next to the water
48,a group of boats docked in a body of water
49,an elephant and a rhino standing in a field
50,a man and a young girl are pulling a suitcase
51,a woman in a dress sitting on a suitcase
52,a woman sitting on a suitcase talking on a cell phone
53,a small child sitting on a black box
54,a brown dog laying next to a swimming pool
55,two children walking down a street with umbrellas
56,a black dog standing next to a plate of broccoli
57,a man running on the beach with a frisbee
58,a man and two dogs walking on a dirt road
59,a zebra grazing in a field of tall grass
60,a zebra standing in the snow
61,two zebras and an antelope grazing in a field
62,two zebras playing with each other in a field
63,a group of three toy horses on a shelf
64,a woman standing next to a horse looking at a car
65,a man on a horse jumping over a hurdle
66,a woman standing next to a white horse
67,a banana and oranges on a tray on a table
68,a group of children playing baseball in a field
69,a man with a bunch of bananas on his head
70,a man wearing a bunch of bananas on his head
71,a baseball player throwing a ball on a field
72,a table with two plates of food and a salad
73,a man and a little girl on skis in the snow
74,a young boy is holding a bowl of food
75,a woman riding a skateboard in front of a store
76,a boy doing a trick on a skateboard at a skate park
77,two young men riding skateboards on a sidewalk
78,two men are snowboarding down a snow covered slope
79,a woman with blue gloves eating a sandwich
80,a man is holding a snowboard in a room
81,a display case in a bakery with donuts and pastries
82,a young boy eating a sandwich on a bench
83,a display case filled with lots of different types of pastries
84,a plate with a sandwich and a salad and a pickle
85,a sandwich and a drink and a cup of coffee
86,a display of donuts in a display case in a bakery
87,a young man holding a basketball ball in a basket
88,a woman in a wet suit holding a surfboard
89,a man is running on a soccer field
90,a man riding a wave on a surfboard in the ocean
91,a group of men playing a game of soccer
92,a woman standing in a kitchen with a plate of food
93,a baby sitting at a table eating a piece of cake
94,a group of children standing around a man with a soccer ball
95,a man sitting at a table with a pizza
96,a baby laying on top of a bed
97,a picture of a bride and groom on a bed
98,a pizza on a white plate on a table
99,two pink tennis rackets sitting next to each other
100,a young girl eating a slice of pizza
101,a young man is holding a tennis racket
102,two slices of pizza on a wooden cutting board
103,a brown couch with two pillows and a blanket
104,a young girl brushing her teeth with a toothbrush
105,a living room with a couch and a table
106,a group of men sitting in front of computer monitors
107,a man on the beach flying a kite
108,a person flying a blue kite in a field
109,a man holding a little girl on a swing
110,two kites flying in the sky over the beach
111,a clock on a pole on a city street
112,a baseball player swinging a bat during a game
113,a baseball player holding a bat on a field
114,a baseball player holding a bat on a field
115,a young boy holding a baseball bat in a field
116,a baseball player holding a bat on a field
117,a man swinging a baseball bat at night
118,a person is holding a pizza on a stove
119,a group of people playing tennis on a tennis court
120,a young man hitting a tennis ball with a racket
121,a man walking in front of a building with a clock
122,a cup of coffee next to two vases on a table
123,a man in a costume talking on a cell phone
124,a crowd of people standing in front of a clock tower
125,a woman is sitting next to a statue
126,a large building with a clock tower on top of it
127,a pile of stuffed animals sitting next to each other
128,a building with a clock tower on a street
129,a vase filled with white flowers sitting next to a statue
130,a white vase filled with purple flowers on a table
131,a man is holding a large pair of scissors
132,a group of knives sitting on top of a cutting board
133,a group of people sitting at a table in a restaurant
134,a group of people standing around a table with a woman
135,a group of people sitting at tables with wine bottles
136,a man standing in a store holding a wine glass
137,a crowd of people standing in a crowd with luggage
138,a bunch of vegetables sitting on a counter top
139,a woman standing in a kitchen with a cat sitting on the floor
140,a woman preparing food in a stove in a kitchen
141,a man sitting at a table in a kitchen
142,a man standing in a kitchen with a dog
143,a kitchen counter with pots and pans and utensils
144,a group of young people standing on a sidewalk with a skateboard
145,a man riding a bike next to a wall
146,a bathroom with a toilet and a sink
147,a bathroom with a sink and a mirror
148,a bathroom with a shower and a toilet and a sink
149,a person riding a motorcycle on a bridge
150,a white toilet sitting in a messy room
151,a crowd of people standing in front of a building with clocks
152,two people riding on a motorcycle in the rain
153,a group of people walking in front of two large planes
154,a red plane flying in the sky with smoke
155,an airplane is flying in the blue sky
156,an airplane is flying in the blue sky
157,an airplane flying in the sky
158,a group of sheep grazing on the grass near the beach
159,a giraffe standing in the middle of a field
160,a close up of a giraffe standing next to some trees
161,a traffic light in a city with tall buildings
162,a city street at night with a street light
163,two giraffes walking in a field next to a fence
164,a giraffe eating hay from a feeder with another giraffe
165,two giraffes standing in a field next to a road
166,a yellow and black fire hydrant next to a bench
167,a group of sheep standing in a field
168,a man sitting on a bench by the water
169,a giraffe standing in front of a building
170,a couple of ducks swimming in the water
171,three giraffes standing next to a wooden fence
172,a giraffe and a zebra in a zoo
173,a street sign that reads 9th street detour
174,a giraffe eating grass in a field
175,two giraffes eating leaves from a basket in a zoo
176,a herd of animals standing in a field
177,a herd of sheep grazing in a field
178,a herd of sheep grazing in a field
179,a cow in the back of a truck on a street
180,a car driving down a highway with a train on it
181,a red train is sitting on the tracks
182,a snow bank with a stop sign and street signs
183,a red train at a train station with people waiting
184,a stop sign on a pole with a 3 way sign
185,a cat walking on top of two red suitcases
186,a cat sitting on a window sill looking outside
187,a fire truck with christmas decorations on the side of it
188,an old photo of a group of people posing for a picture
189,a brown and white dog wearing a tie
190,a close up of the side of a boat
191,a group of boats sitting on the sand
192,a man and a woman posing for a picture
193,a group of people walking in the rain with umbrellas
194,a cat is sitting in a bathroom sink
195,a cat laying on a blanket on a bed
196,a man with a cat sitting on his lap with a laptop
197,a man standing next to an elephant
198,a dog playing with a frisbee on the beach
199,two dogs playing with a frisbee in the snow
200,two pieces of black luggage sitting next to each other
201,a store display with a star wars costume and luggage
202,a brown dog carrying a purple frisbee in its mouth
203,two zebras are standing in a field with birds
204,a little girl holding a red frisbee in the grass
205,a group of zebras and antelopes standing in a field
206,a herd of zebras standing in a field
207,a zebra standing on a dirt road in a field
208,a brown horse running through a forest
209,a woman and a child walking past a statue of a horse
210,a person holding a piece of pie and bananas
211,a man on a jet ski in the water
212,a woman is cross country skiing in the snow
213,a pile of oranges sitting on top of each other
214,a pile of oranges and lemons sitting next to each other
215,a woman is skiing down a snow covered trail
216,two boys playing a game of baseball on a field
217,two men are skiing down a snow covered slope
218,two men riding skateboards down a sidewalk on a street
219,a woman is cross country skiing in the snow
220,a woman is skiing down a snow covered slope
221,two young boys are playing with a bike at a skate park
222,a green container of food with fruit and vegetables
223,a table with plates and glasses and a bowl of food
224,a group of people on skis in the snow
225,a man eating a hot dog and holding a box
226,a man doing a trick on a skateboard on a ramp
227,a donut on a plate next to a cup of coffee
228,a knife sitting on a table next to a cup of coffee
229,a piece of cake on a plate with a spoon
230,a piece of cake on a plate on a table
231,a man sleeping in a bed with two cats
232,a bedroom with a bed and posters on the wall
233,a group of people sitting at a table with a birthday cake
234,a woman holding a tray with a birthday cake
235,two women standing in front of a birthday cake
236,two women holding a cake with a picture on it
237,a man riding a paddle board on a wave in the ocean
238,a group of people standing on the beach with surfboards
239,a pizza with cheese and mushrooms on a pan
240,a man holding a tennis racket on a tennis court
241,a pizza sitting on top of a wooden table
242,a person holding a slice of pizza on a plate
243,a group of people sitting at a table with pizzas
244,a shirtless man holding a tennis racket on a court
245,a cat laying on a couch in a living room
246,two people playing a video game in a living room
247,a young girl holding a wii remote in front of a chair
248,a desk with three computer monitors and a laptop
249,a living room with a couch and a table
250,a dog is flying a kite in a field
251,a group of men playing baseball on a field
252,a baseball player swinging a bat at a ball
253,a large clock on the side of a building
254,a woman sitting on a bed with a laptop
255,a laptop computer sitting on a table with a glass of beer
256,a person holding a cell phone in their hand
257,a woman wearing headphones and holding a cell phone
258,a woman is putting a turkey in an oven
259,a little girl blow drying her hair with a hair dryer
260,a table with a plate of food on a table
261,two young boys are holding a teddy bear
262,a woman sitting at a table in a restaurant
263,a kitchen counter with a cake on top of an oven
264,a wooden table with a laptop computer on it
265,a kitchen with a sink and a refrigerator and a window
266,a hole in the floor of a bathroom with a wall
267,a bathroom with a white toilet in a room
268,a small bathroom with a toilet and a bath tub
269,a bathroom with a tub sink and a washing machine
270,a small bathroom with a sink and a window
271,a black cat sitting in a bathroom sink
272,a dog sitting in the back seat of a car
273,a view of a busy city street with cars and buses
274,a white toilet in a bathroom with a shower
275,a bathroom with a sink and a toilet
276,a cat standing in the bowl of a toilet
277,a black and white cat sitting on a green pillow
278,a pile of oranges sitting on a white plate
279,a blue and yellow plane flying in the sky
280,a plane flying in the sky above a tree
281,an airplane flying in the sky over a tree
282,two birds perched on the side of a giraffe
283,two tall buildings in a city with a kite in the sky
284,an airplane flying in the sky over a tall building
285,a giraffe drinking water from a body of water
286,an empty street with green traffic lights at sunset
287,a blue book sitting on top of a wooden bench
288,a green traffic light with a car on a street
289,a herd of sheep grazing in the grass on the side of a road
290,a young girl petting a sheep in a pen
291,a bird with its wings out on the ground
292,a man sitting on a boat in the water
293,a person riding on the back of an elephant in a parade
294,a man sitting on a bed in a hospital room
295,a blue train car sitting on the tracks
296,a black bird sitting on top of a wooden pole
297,two birds are standing in a cage
298,a blue and white hat on top of a table
299,a woman standing in front of a table with a cake
