0,1
0,a man is riding a motorcycle on a mountain
1,a woman with long brown hair talking on a phone
2,a shadow of a person on the side of a road
3,a kitchen counter with a sink and a window
4,a group of wooden utensils on a wooden table
5,a table with lots of wooden utensils on it
6,a bathroom with a toilet and a shower
7,a bathroom with a shower and a toilet and a sink
8,a group of people riding bikes down a city street
9,a bathroom with a sink and a toilet
10,a bathroom with a mirror and a toilet in a room
11,a man wearing a black shirt and a tie
12,two men sitting on a motorcycle on the street
13,a row of motorcycles parked next to a building
14,a living room with a couch and a book shelf
15,a painting of a vase with a candle in it
16,a bunch of bananas sitting on top of each other
17,a motorcycle parked on top of a table
18,a man is boarding an airplane at an airport
19,a view from an airport window of an airport runway with planes
20,a small blue and white plane flying in the air
21,a herd of sheep in a field with a motorcycle
22,a white dog with a collar standing on a street
23,a traffic light with red and green lights on a pole
24,a dining room with a wooden table and some windows
25,a group of people standing around a play park
26,an old house with a shingled roof surrounded by trees
27,a group of birds flying in a cloudy sky
28,a swan swimming in a river with a boat
29,two giraffes and an antelope standing in a field
30,a yellow fire hydrant in front of a house
31,a black bird standing in a flower pot
32,a black and white photo of a building with a clock tower
33,two geese swimming in a body of water
34,a street sign on a pole next to a parking sign
35,a sheep standing in the grass in a field
36,two people dressed as zombies holding a skateboard
37,a group of signs in front of a house
38,a brown cow walking down a city street
39,a statue of a cow in front of a market
40,a cat laying on a white carpet with its paws K� W B� X
41,a cat sitting on a chair at a table
42,two cows standing in a field near a temple
43,a black and white cow standing in front of a house
44,a dark room with a person standing in the dark
45,a group of people watching an elephant in a zoo
46,an elephant is standing next to a tree
47,two kayaks sitting on a beach next to the water
48,a group of boats are docked in a harbor
49,an elephant walking through a field with trees
50,a woman and a little girl sitting next to a suitcase
51,a woman in a black and white polka dot dress
52,a close up of a tree in a field
53,a small child sitting on the floor in a room
54,a brown dog laying next to a swimming pool
55,a person walking on a brick sidewalk with an umbrella
56,a dog is standing next to a dog dish
57,a man walking on a beach with a frisbee
58,a rock wall with a blue sky in the background
59,a zebra is eating grass in a field
60,a zebra standing in the snow next to a wall
61,two zebras and an animal grazing in a field
62,two zebras are fighting in a field
63,two plastic horses are standing next to each other
64,a black and white horse standing in front of a house
65,a train on the tracks near a tree
66,a woman standing in front of a blue wall
67,a banana sitting on a counter with oranges and a plate
68,a little girl throwing a ball with a baseball glove
69,a man wearing a bunch of bananas on his head
70,a man wearing a bunch of bananas on his head
71,a baseball player with his arm in the air
72,a table with two plates of food with pizza and a salad
73,a little girl is standing in the snow
74,a young boy is holding a bowl of dessert
75,a woman with glasses standing in front of a store
76,a young boy is doing a trick on a skateboard
77,a man taking a picture of a boy with a cell phone
78,two men are snowboarding down a snow covered slope
79,a woman wearing a blue and white sweater
80,a man in a blue jacket standing next to a snowboard
81,a display case filled with lots of donuts and pastries
82,a young boy eating a sandwich on a bench
83,a display case filled with lots of different types of pastries
84,a sandwich and a salad on a white plate
85,a corner of a room with an open refrigerator
86,a display of donuts with sprinkles on a tray
87,a basketball hoop on a brick wall
88,a man in a wet suit holding a surfboard
89,a man standing in a field holding a soccer ball
90,a man riding a wave on a surfboard in the ocean
91,a group of men standing next to each other
92,a woman in a pink shirt standing in front of a cake
93,a baby eating food with a fork in its mouth
94,a group of children standing in a field with soccer balls
95,a man sitting at a table with a pizza
96,a child laying on a bed in a room
97,a bride and groom sitting on a bed
98,a close up of a pizza with many different toppings
99,two pink tennis rackets sitting next to each other
100,a young child eating a slice of pizza
101,a young woman is holding a tennis racket
102,two slices of pizza on a wooden cutting board
103,a brown couch with three pillows on it
104,a close up of a woman looking at the camera
105,a living room with a couch and a table
106,a group of men sitting at a desk working on a computer
107,a person on a sail boat in the ocean
108,a group of trees in the background
109,a man holding a young girl on a swing
110,two kites flying in the sky
111,a clock on a pole on a city street
112,a baseball player swinging a bat during a game
113,a baseball player holding a bat on a field
114,a baseball player holding a bat on a field
115,a baseball player is standing in the grass
116,a large crowd of people in a baseball game
117,a man in a yellow shirt swinging a bat
118,a pizza sitting on top of a stove
119,a group of people standing on a tennis court
120,a person is standing on a tennis court
121,a group of people standing in front of a building
122,two vases and a cup of coffee on a table
123,a man standing in front of a picnic table
124,a building with a clock tower on top of it
125,a woman sitting on a couch playing with a dog
126,a large building with a clock tower in front of it
127,a group of stuffed animals sitting next to each other
128,a building with a clock tower on top of it
129,a glass vase with white flowers in it
130,a bunch of purple flowers in a vase
131,a man is holding a large pair of scissors
132,a group of scissors and other tools on a cutting board
133,a group of people sitting around a wooden table
134,a group of people with wine glasses and a baby
135,a group of people sitting at tables with wine bottles
136,a man sitting in front of a microwave
137,a group of people walking down the street with luggage
138,a counter with a bunch of vegetables on it
139,a woman standing in a kitchen with a cat sitting on the floor
140,a woman standing in front of a stove in a kitchen
141,a man sitting at a bar with a glass of wine
142,a man standing in a kitchen with a white dog
143,a kitchen counter with pots and pans and utensils
144,a man and a woman looking at a cell phone
145,a man in a top hat standing in front of a building
146,a bathroom with a toilet and a white wall
147,a bathroom with a sink and a mirror
148,a black tiled bathroom with a shower and a toilet
149,a metal bridge with a train on it
150,a white toilet sitting in a messy bathroom
151,a large clock on the side of a building
152,two people riding on a motorcycle in the rain
153,an airplane with four propellers on a runway
154,a red airplane flying in the sky with smoke
155,an airplane is flying in the blue sky
156,an airplane is flying in the blue sky
157,a small plane flying in the blue sky
158,a herd of sheep grazing on the beach
159,a giraffe standing in the middle of a field
160,a close up of a giraffe standing next to some trees
161,a traffic light in a city with tall buildings
162,a city street at night with a traffic light
163,two giraffes walking on a dirt road next to a fence
164,a giraffe is eating hay from a feeder
165,two giraffes standing in the grass near a road
166,a black fire hydrant on the side of a street
167,a group of sheep standing in a field
168,a purple tile on the wall
169,a giraffe standing in front of a building
170,a couple of ducks swimming in the water
171,three giraffes standing next to a wooden fence
172,a giraffe standing next to a pole
173,a traffic light with a sign that reads 91th street detour
174,a giraffe grazing on the grass in a field
175,two giraffes eating from a feeder in a zoo
176,a herd of sheep in a field behind a fence
177,a herd of sheep grazing in a field
178,a herd of sheep grazing in a field
179,a cow in the back of a truck
180,a car driving down a highway with a train on it
181,a red train is sitting on the tracks
182,a stop sign buried in a pile of snow
183,a red train on the tracks at a train station
184,a stop sign on a pole with a 3 way sign
185,a cat standing on top of two red suitcases
186,a shadow of a pole on a fence
187,a fire truck with christmas decorations on the side of it
188,a group of people are posing for a picture
189,a cat wearing a tie with its front paws on the floor
190,a close up of the side of a boat
191,a group of boats sitting on the beach
192,a man and a woman posing for a picture
193,three people walking down the street in the rain with umbrellas
194,a cat is sitting in a bathroom sink
195,a cat laying on a blanket on a bed
196,a cat sleeping next to a person with a laptop
197,a man standing next to an elephant
198,a dog jumping in the air to catch a frisbee
199,two dogs playing with a frisbee in the snow
200,two pieces of black luggage sitting next to each other
201,a store with a superhero statue and luggage on a counter
202,a brown dog is looking at a frisbee
203,a group of birds in a field with birds flying
204,a field of green grass with flowers in the background
205,a zebra and other animals standing near a puddle of water
206,a herd of zebras standing in a field
207,a zebra standing on a dirt road
208,a horse walking in the woods
209,a statue of a man on a horse in front of a building
210,a person holding a waffle with a banana and a sandwich
211,a water skier is making a splash in the water
212,a woman is skiing down a snow covered slope
213,a pile of oranges and lemons sitting next to each other
214,a group of oranges and lemons sitting next to each other
215,a woman is cross country skiing in the snow
216,a man holding a baseball bat during a game
217,two men are skiing down a snow covered slope
218,a man with a backpack leaning against a building
219,a woman is skiing down a snow covered slope
220,a woman is skiing down a snow covered slope
221,a young boy playing with a bike at a skate park
222,a green tray of vegetables and fruit on a table
223,a wooden table topped with plates and bowls of food
224,a group of people on skis in the snow
225,a person in a gray shirt sitting on the floor
226,a man doing a trick on a skateboard on a ramp
227,a chocolate donut with red sprinkles on top of it
228,a knife sitting on a table next to a cup of coffee
229,a piece of cake on a plate with a spoon
230,a piece of cake on a white plate with a carrot
231,a man sleeping in a bed with two cats
232,a bedroom with a bed and posters on the wall
233,a person sitting at a table with a birthday cake
234,a woman standing in a kitchen with a cake on a counter
235,a woman holding a cake with a picture on it
236,two women are holding up a birthday cake
237,a man riding a wave on a surfboard in the ocean
238,a group of people standing on the beach with surfboards
239,a pizza with cheese and mushrooms on a pan
240,a man standing on a tennis court holding a racket
241,a pizza sitting on top of a wooden table
242,a slice of pizza on a black plate
243,two people sitting at a table with two pizzas
244,a shirtless man is holding a tennis racket
245,a cat laying on a couch in a living room
246,a man and woman playing a video game in a living room
247,a young girl playing a video game with a wii remote
248,a desk with two computer monitors and a laptop
249,a living room with a table and a tv
250,a tree on the side of a street
251,a baseball player holding a bat on a field
252,a baseball player swinging a bat at a ball
253,a large clock on the side of a building
254,a woman sitting on a bed with her legs crossed
255,a laptop computer sitting on top of a table
256,a person holding a cell phone in their hand
257,a laptop computer sitting on top of a desk
258,a woman is putting a turkey in an oven
259,a little girl holding a hair dryer and a blow dryer
260,a plate of food on a table with a sandwich
261,two young children are holding a teddy bear
262,a woman sitting at a table in a restaurant
263,a cake sitting on top of an oven in a kitchen
264,a wooden table with a laptop computer and a keyboard
265,a kitchen with a white refrigerator and a microwave
266,a hole in the floor of a bathroom with a wall
267,a bathroom with a white toilet in a room
268,a bathroom with a green tub and a toilet
269,a bathroom with a tub and a washing machine in it
270,a hallway of a bathroom with a room with a toilet
271,a black cat sitting in a bathroom sink
272,a dog sitting in the back seat of a car
273,a busy city street filled with traffic with cars and buses
274,a bathroom with a white toilet in a room
275,a bathroom with a sink and a toilet
276,a cat standing in the bowl of a toilet
277,a black and white cat sitting next to a printer
278,a pile of oranges sitting on a white plate
279,a blue and yellow plane flying in the sky
280,a tree with green leaves in the sky
281,an airplane is flying in the sky
282,two birds perched on the side of a giraffe
283,a kite flying over a city with tall buildings
284,an airplane is flying over a tall building
285,a giraffe standing on a rocky field with its legs L New New New�
286,an intersection with traffic lights and a street at sunset
287,a pizza box sitting next to a bench
288,a traffic light with a green light on a street
289,a herd of sheep grazing on the side of a road
290,a young girl is petting a sheep
291,a bird with its wings out on a beach
292,a man sitting on a boat in the water
293,a person riding on the back of an elephant in a parade
294,a man sitting on a bed in a hospital
295,a blue train car sitting on the tracks
296,a bird is standing on top of a television
297,two birds are standing in a cage
298,a blue and white baseball cap on top of a table
299,a woman standing in front of a cake on a table
