0,1
0,a cat lying on a rug
1,a bird sitting on a rock in the woods
2,a bottle of liquid
3,a body of water with a mountain in the distance
4,a bird standing on grass
5,a bird on a ledge
6,a white bird flying over grass
7,a sheep standing on a rock
8,a person sitting at a table
9,a table with plates and utensils on it
10,a close-up of a bottle
11,a large building with a clock on it
12,horses in a barn
13,a sheep grazing in a field
14,a group of people playing in the ocean
15,a couch with a drawing on it
16,a cow standing next to a tree
17,a group of chairs
18,a man riding a horse carriage with a woman in a wheelchair
19,a green chair in a room
20,a cat lying down
21,a train is stopped at a station
22,a black rectangular object with a red background
23,a person sitting in a chair
24,a boat on the water
25,a close up of a dog
26,a cow grazing in a field
27,a cat lying on a couch
28,a white wall with a black lamp
29,a train on the railway tracks
30,a cow looking over a fence
31,a fireplace in a room
32,a motorcycle parked on a concrete surface
33,a man in a baseball cap and glasses holding a baseball bat
34,a dog sitting in the grass
35,a yellow school bus on the street
36,a dog lying on the floor
37,a horse with a halter
38,a cat lying on a blanket
39,a sign in the sky
40,a bird with a red beak
41,a cat lying on a rug
42,a building with a balcony
43,a sheep grazing in a fenced in pasture
44,a cat sitting on a chair
45,a snake in the water
46,a cat lying on a pink blanket
47,a couple of airplanes on a runway
48,a passenger plane on the runway
49,a couple of women posing for a picture
50,a laptop sits on a table
51,a red race car
52,a person petting a horse
53,a motorcycle parked on a road
54,a military plane in a museum
55,several boats in a museum
56,a rabbit sitting on a bed
57,a cat lying on a blanket
58,a dog standing on leaves
59,a motorcycle parked in a garage
60,a jet flying over a bridge
61,a bird standing on a flower
62,a woman smiling at the camera
63,a purple truck with gold writing on it
64,a group of buses parked on the side of a street
65,a passenger airplane on the runway
66,a living room with a couch and a lamp
67,a group of animals eating grass
68,bicycles in the snow
69,a cow eating grass
70,a cat sitting in a window
71,a large airplane is parked at an airport
72,a man with a white shirt
73,a close-up of a television
74,a cat lying down
75,a tree with green leaves
76,a road with trees on the side
77,a person standing next to a train
78,a person sitting in a chair
79,a street with a bicycle and a person on the side
80,a person holding a bottle of alcohol
81,a train on the railway tracks
82,a seagull flying over the water
83,a close up of a green fabric
84,a person riding a horse
85,a man and woman smiling at the camera
86,a person riding a horse
87,a tree with many branches
88,a bicycle with a basket on the back
89,a horse and a donkey
90,a woman and a man sitting at a table with a baby
91,a group of dogs lying on a bed
92,a red and blue bicycle
93,a cat lying on a red and white surface
94,a person riding a bicycle
95,a bicycle parked on the side of the road
96,a man riding a motorcycle
97,a black sheep with a white tag
98,a bird standing on a stick
99,a garbage can on a train
100,a double decker bus parked next to a person standing in front of a large boat
101,a car parked on a brick surface
102,a motorcycle going down a road
103,a dog in a car
104,a red train on the tracks
105,a person riding a horse
106,a close-up of a windmill
107,a baby in a car seat
108,a green double decker bus
109,a group of plants in pots on a window sill
110,a couple of men in a river
111,a person standing in a forest
112,a double decker bus on the street
113,a table and chairs in a room
114,a group of tall buildings
115,a cat looking at the camera
116,a red couch in a room
117,a man riding a bicycle
118,a green field with a few rows of green plants
119,a computer tower with wires
120,a dog lying on a couch
121,a red car with a black background
122,the back of a car
123,a bird with a baby bird
124,a tree in a field
125,a computer on a table
126,a double decker bus on the street
127,a computer screen with a program on it
128,a black cow in a pen
129,a couple of birds flying in the sky
130,a white airplane flying in the sky
131,a person leaning against a fence
132,a glass of water
133,a group of people walking
134,a green vase on a window sill
135,a red motorcycle parked
136,a couple of motorcycles parked on the side of a street
137,a horse standing behind a fence
138,a group of people in a living room
139,a close up of a cat
140,a boy riding a skateboard
141,a red and black motorcycle parked on grass
142,a row of fishing nets on a boat
143,a bus on the street
144,a cat lying on a chair
145,a man in a blue uniform
146,a car with a large amount of wires coming out of it
147,a large airplane flying in the sky
148,a shop with signs and signs
149,a bicycle leaning against a box
150,a train on the railway tracks
151,a bus parked on the side of the road
152,a group of potted plants
153,a white wall with a picture on it
154,a tall metal bridge
155,a boat in the water next to a wind turbine
156,a double decker bus
157,a group of people sitting at a table with drinks
158,a couple of plants in pots
159,a person sitting at a desk
160,a person on a motorcycle
161,a bicycle parked under a tree
162,a dog standing on a dirt road
163,a man holding a baby
164,a man looking at another man
165,a person walking on a path
166,a sign on a pole
167,a person lying on a couch with a cat on the lap
168,a plane flying over another plane
169,a group of cows stand in a dirt lot
170,a dog lying on a bed
171,a person's foot with a small animal in it
172,a yellow sports car
173,a train at a train station
174,a red car on the road
175,a man wearing a hat
176,a table with chairs and a plant
177,a cat lying on a chair
178,a boat with a sign on the side
179,a bus is parked in a parking lot
180,a living room with a blue chair and a book shelf
181,a cow lying on the grass
182,a room with shelves and a shelf
183,a bird perched on a branch
184,a large silver airplane in a hangar
185,a group of cats lying on the ground outside
186,a cat with a cat face
187,a dog lying on a blue ball
188,a herd of sheep in a field
189,a horse behind a fence
190,a bus on the street
191,a person standing next to a horse
192,a close up of a bike tire
193,a couple of sheep in a fenced in pasture
194,a large stone structure
195,a large arch with a street and cars below with Arc de Triomphe in the background
196,a yellow sports car
197,several buses parked in a row
198,a body of water with fog in the background
199,a large airplane flying in the sky
200,a person standing in a train
201,a cat lying on a baby
202,a person with a light on their face
203,a cat lying on a blanket
204,birds flying in the sky
205,a person playing with a dog
206,a train travels down the tracks
207,a white bird sitting on a log
208,two dogs running in snow
209,a sheep and a baby sheep in a fenced in pasture
210,a dog walking on pavement
211,a jet flying in the air
212,a white horse eating grass
213,a bicycle parked on the side of a road
214,a dog sitting on a bed
215,a black and white photo of a plane
216,a boat in the water
217,a large blue and white boat
218,a wooden chair with a white cushion
219,a train on the railway tracks
220,a blue truck parked in front of a house with trees
221,buses parked in a lot
222,a tv in a room
223,a person standing on a stool
224,a tv on a shelf
225,a pot of food
226,a man holding a bottle and a man on a bicycle
227,a couple of airplanes flying in the sky
228,a man sitting on a couch
229,a couch with orange pillows
230,a couple of cats lying on a rug
231,a green rectangle with a white center
232,a motorcycle parked on the side of a road
233,a tree in a foggy field
234,a person sitting on a motorcycle
235,a group of chairs
236,a black cat on a carpet
237,a couple of people sitting at a table with a bottle of beer and a cup of coffee
238,a living room with a fireplace
239,a laptop computer on a desk
240,a bus is stopped at a red light
241,a broken down garbage can
242,a cat looking out a window
243,a living room with a fireplace
244,a close-up of a leg
245,a group of birds on a perch
246,a cat wearing a collar
247,a window with a white curtain
248,a white and yellow race car
249,a dog with a white and black face
250,a person standing on a stone surface
251,a dog lying on a person's lap
252,a man riding a motorcycle
253,a group of women sitting in a room
254,a person doing a trick on a motorcycle
255,a man standing next to a bicycle
256,a horse with a saddle on
257,a large airplane is parked at an airport
258,a horse and a calf in a pasture
259,a red sports car
260,a group of plants growing in a garden
261,a train on the railway tracks
262,a woman riding a bicycle
263,a cow licking a cow
264,a man standing in a room
265,a dog lying on a bed
266,a field with trees and a hill in the background
267,a group of bicycles parked next to a tree
268,a double decker bus on the street
269,a room with a table and a chair
270,a person looking at a cabinet
271,a woman smiling at the camera
272,nothing
273,a close-up of a machine
274,a blue motorcycle parked on the side of a road
275,a train on the tracks
276,a bottle of beer
277,a train with a cartoon character on it
278,a train with its doors open
279,a couple of cows stand in a river
280,a large airplane is on the runway
281,a motorcycle parked on a tile floor
282,a couple of motorcycles parked next to a brick wall
283,a couch with pillows on it
284,a rocky beach with waves crashing against it
285,a dog sitting next to a potted plant
286,a cat sitting on a shelf
287,a couple of trains on a train track
288,a cat and a dog lying on a bed
289,a large cruise ship in the water
290,a close-up of a bird
291,a bus on the street
292,a brown cow standing on grass
293,a train on the railway tracks
