0,1,2
14,a white bed sitting in front of a room.,0.8565956354141235
118,a pizza with mushrooms on a pan with a stove.,0.7982207536697388
68,a group of children playing baseball on a field.,0.903464138507843
164,a couple of giraffes standing in front of trees.,0.9717539548873901
273,a group of buses and cars on a city street.,0.9312760829925537
163,a couple of giraffes standing next to a fence.,0.9743004441261292
274,a white toilet in a bathroom with a wall.,0.8949756622314453
13,a group of motorcycles parked on the side of a building.,0.9182795882225037
208,a brown elephant walking through a forest.,0.8782387375831604
61,a couple of zebras and other animals grazing in a field.,0.9651496410369873
111,a green clock tower in front of a building.,0.8750007152557373
2,a parking meter sitting on the side of a street.,0.8289459347724915
206,a group of zebras standing in a field.,0.9750364422798157
116,a crowd of people sitting on a bridge watching a game.,0.8378683924674988
5,a group of scissors sitting on top of a table.,0.8421271443367004
201,a couple of toy people standing on a counter in an airport.,0.7402700185775757
66,a woman standing next to a white horse.,0.9376988410949707
234,a woman holding a birthday cake in a kitchen.,0.8811221718788147
123,a man sitting in a chair holding a cell phone.,0.919015109539032
82,a dog holding a piece of cake in its mouth.,0.7754894495010376
53,a baby sitting on the floor next to a door.,0.9038103222846985
248,a desk with two computer monitors and a laptop on it.,0.9496186375617981
299,a woman in a suit and tie standing in a room.,0.97515869140625
85,a cup of coffee and a sandwich on a table.,0.923107922077179
54,a brown dog standing next to a swimming pool.,0.8868274092674255
189,a dog wearing a tie sitting in a table.,0.8681891560554504
158,a group of sheep grazing on a field near the ocean.,0.8839643597602844
28,a large boat with flowers on the water with a swan.,0.7673461437225342
233,a group of people sitting at a table with a birthday cake.,0.9237140417098999
124,a large building with a clock tower on top of it.,0.9631831049919128
241,a pizza sitting on top of a table next to a glass of drink.,0.8509187698364258
187,a red fire truck parked on the side of a street.,0.830853283405304
156,a large airplane flying in the blue sky.,0.9355799555778503
290,a woman petting a sheep on the head.,0.7871577739715576
26,a large building with a bunch of trees in front of it.,0.7872547507286072
21,a red and white motorcycle parked in a dirt field.,0.8675863742828369
246,a couple of men playing a video game in a living room.,0.9855400323867798
180,a couple of people standing on a train on a highway.,0.9114986062049866
151,a large clock tower on the side of a building.,0.9693139791488647
297,a large bird standing in front of a cage.,0.7413153648376465
