0,1
0,a cat lying on a carpet
1,a bird sitting on the ground
2,a bottle and a glass of liquid
3,a car on a road by the water
4,a bird standing in the grass
5,a bird on a plant
6,a white bird flying in the air
7,a sheep in a fenced pasture
8,a person with long hair
9,a table with plates and glasses on it
10,a couple of birds on a tree branch
11,a large stone building with a clock on it
12,horses in a barn
13,a sheep grazing in a field
14,a group of people in the ocean
15,a couch with a lamp on top
16,a cow standing on a hill
17,a group of chairs
18,a person in a wheelchair pulled by a couple of horses
19,a living room with a black couch
20,a cat looking at the camera
21,a train with its doors open
22,a chair in a room
23,a person's legs and a couch in a room
24,a boat in the water
25,a dog lying in the sand
26,a cow grazing in a field
27,a cat with glowing eyes
28,a room with couches and a table
29,a train on the railway tracks
30,a cow looking at the camera
31,a living room with a fireplace
32,a motorcycle parked on a road
33,a man wearing a hat and glasses looking at a train
34,a dog standing in a grassy area
35,a bus on the street
36,a dog lying under a table
37,a horse with a halter
38,a cat lying on a blanket
39,a large white truck drives down the road
40,a bird with a red and black beak
41,a cat lying on a rug
42,a bicycle parked on a street
43,a sheep grazing in a fenced in pasture
44,a cat on a chair
45,a bird standing in a field
46,a dog lying on a couch
47,a plane taking off from a runway
48,a passenger airplane on the runway
49,a man and a woman standing in front of a house with flags
50,a laptop with a fork and knife
51,a red race car
52,a man and woman petting a horse
53,a motorcycle parked on a road
54,a military plane in a hangar
55,several boats in a large building
56,a rabbit sitting on a couch
57,a dog lying on a rug
58,a dog standing on leaves
59,a motorcycle parked on the pavement
60,a rocket ship on a pole
61,a bird standing on a flower
62,a table with food and drinks
63,a blue truck with gold writing
64,a group of red buses parked on the side of a street
65,a passenger airplane taking off
66,a living room with a couch
67,a couple of bulls eating grass
68,a bicycle in the snow
69,a horse eating grass
70,a cat sitting in front of a window
71,an airplane is being prepared for a flight
72,a person holding a bottle of beer
73,a computer monitor on a desk
74,a cat lying down
75,a moose standing in front of a building
76,a yellow school bus parked on the side of a road
77,a person standing next to a train
78,a man sitting on a chair next to a man sitting in a chair
79,a person standing on a sidewalk
80,a man looking at a paper
81,a train travels down the tracks
82,a seagull flying over the ocean
83,a cat looking out a window
84,a person riding a horse
85,a man and a woman smiling
86,a person riding a horse
87,a table and chairs outside
88,a bicycle with a basket and a basket
89,a horse and a foal
90,a group of people sitting around a table with a baby
91,a group of dogs sitting on a bed
92,a red and yellow bicycle
