0,1
0,a man riding a motorcycle on a dirt road
1,a woman eating food
2,a person on a bicycle next to a train
3,a kitchen with a sink and a window
4,a stack of wood
5,a table full of food
6,a bathroom with a toilet and sink
7,a bathroom with a glass shower
8,a group of people riding bikes on a street
9,a bathroom with a sink and a toilet
10,a bathroom with a shelf of toiletries and a shelf with a mirror
11,a man wearing glasses and a suit
12,a man on a motorcycle
13,a street with scooters and people
14,a bedroom with a bed and a television
15,a group of bowling pins
16,a bunch of bananas
17,a bicycle with a helmet on it
18,a large white airplane is parked in a large building
19,a view of a road from a window of a vehicle
20,a small plane in the air
21,a red motorcycle parked on a dirt road
22,a dog sitting on a bench with a person sitting on a bench
23,a traffic light with a red light
24,a table with a vase of flowers
25,a group of people playing in a playground
26,a herd of sheep in a fenced in pasture
27,birds flying in the sky
28,a boat with a bunch of flags on it
29,giraffes and a gazelle in a grassland
30,a yellow fire hydrant on the sidewalk
31,a bird eating food
32,a street sign in front of a church
33,two ducks swimming in water
34,a street sign on a pole
35,a sheep standing in a field
36,a man and a woman holding a guitar
37,a street sign on a pole
38,a cow on the street
39,a bull stands in a market
40,a cat eating a banana
41,a cat sitting at a table
42,a couple of cows in a park
43,a cow in a field
44,a person with red hair
45,a baby elephant in an enclosure
46,an elephant standing by a tree
47,a kayak and a paddle on a beach
48,boats are parked in the water
49,an elephant walking on a path
50,a person and a girl smiling
51,a woman sitting in a suitcase
52,a woman sitting on a suitcase
53,a baby sitting in a chair
54,a dog in a pool
55,a man and a woman walking down a street with an umbrella
56,a dog sitting on a table
57,a person walking on a beach
58,a person and a dog walking on a sandy road
59,a zebra stands in the grass
60,a zebra standing in the snow
61,zebras and a gazelle grazing on a grassy hill
62,a group of zebras fighting
63,a group of horses
64,a horse is eating grass
65,a man riding a horse next to a helicopter and a helicopter
66,a person riding a white horse
67,a banana and oranges on a table
68,a group of people playing baseball
69,a man wearing a costume
70,a person wearing a costume
71,a baseball player throwing a ball
72,a table full of food
73,a couple of people skiing down a slope
74,a girl holding a plate of food
75,a person wearing a white and pink top and white shoes
76,a kid skating on a ramp
77,a man riding a skateboard
78,a couple of people skiing down a slope
79,a girl with a surprised expression
80,a man holding a surfboard
81,a variety of donuts are displayed
82,a boy eating a sandwich
83,a display case with pastries
84,a plate of food
85,a sandwich and a drink
86,a box of donuts
87,a person in a green shirt
88,a man holding a surfboard
89,a person playing football
90,a man surfing on the waves
91,a group of football players compete over a ball
92,a woman holding a tray of food
93,a baby eating a piece of cake
94,a person and a group of children playing football
95,a man sitting at a table with a pizza and a drink
96,a baby sleeping on a bed
97,a couple of men lying on a bed
98,a pizza with tomatoes and cheese
99,tennis rackets on a tennis court
100,a person eating a slice of pizza
101,a woman holding a tennis racket
102,a couple of pizzas on a table
103,a brown leather couch with pillows
104,a child eating a piece of cake
105,a living room with a couch and a table
106,a group of people working on computers
107,a person is flying a kite on the beach
108,a person is flying a kite
109,a child holding a rope
110,a kite flying in the sky
111,a clock on a pole
112,a baseball player swings a bat
113,a baseball player prepares to swing a bat
114,a baseball player holding a bat
115,a boy swinging a baseball bat
116,a baseball player prepares to swing a bat
117,a man holding a lightning bolt
118,a pizza with pepperoni and mushrooms
119,a group of people playing tennis
120,a person playing tennis
121,a person in a tie and a suit standing in front of a building with a clock on the
122,a cup of coffee and a cup
123,a person in a costume
124,a crowd of people at an outdoor event
125,a dog sitting on a person's lap
126,a large building with a clock tower
127,a group of stuffed animals
128,a street with a building and a clock tower
129,a close-up of a plant
130,a vase with purple flowers
131,a man holding a gun
132,a pair of scissors next to a knife and a cutting board
133,a group of people sitting at a table
134,a group of people sitting outside
135,a group of people sitting around a table with wine glasses and bottles
136,a man holding a glass
137,a group of people standing around a red suitcase
138,a table full of groceries
139,a dog on the kitchen floor
140,a person standing next to a table
141,a man sitting on a stool in a kitchen
142,a dog on a wood floor
143,a kitchen with a sink and utensils
144,a group of people stand on the sidewalk
145,a person on a bike
146,a bathroom with a toilet and sink
147,a bathroom with a sink and towels
148,a bathroom with a toilet and sink
149,a roller coaster with people riding a motorcycle
150,a toilet with a toilet paper roll
151,a large clock on a building
152,a man on a motorcycle with a woman on the back
153,a group of people walking next to an airplane on display
154,a plane is flying in the sky
155,a large airplane flying in the sky
156,a plane flying in the sky
157,a small airplane flying in the sky
158,a group of sheep grazing on a hill by the ocean
159,a giraffe standing on a dirt road
160,a giraffe looking at the camera
161,a traffic light next to a tall building
162,a street with traffic lights on it
163,giraffes in a zoo exhibit
164,a giraffe eating from a feeder in a zoo exhibit
165,giraffes walking on a road
166,a fire hydrant is on the side of the road
167,a group of sheep in a field
168,a person sitting on a bench overlooking a large body of water
169,a giraffe standing in a dirt area
170,a couple of ducks swimming in a pond
171,giraffes in a zoo exhibit
172,a giraffe standing in a zoo exhibit
173,a traffic light with a sign on it
174,a giraffe eating grass
175,giraffes eating from a feeder
176,a group of animals on a dirt road
177,a herd of sheep grazing
178,sheep grazing in a field
179,a car that has been damaged
180,a train station with people and cars
181,a red and yellow train
182,a stop sign on a snowy mountain
183,people waiting to board a train
184,a stop sign with a sticker on it
185,a cat laying on a red suitcase
186,a cat sitting on a window sill
187,a firetruck with a group of people in it
188,a group of people posing for a photo
189,a dog wearing a tie
190,a boat is parked on the shore
191,boats are parked in the water
192,a man and woman posing for a picture
193,a person walks down the street with an umbrella
194,a cat sitting in a sink
195,a cat lying on a blanket
196,a man sitting on a couch with a cat on his lap
197,a person feeding an elephant
198,a dog on a beach
199,two dogs playing in the snow
200,a couple of black luggage bags
201,a person carrying luggage
202,a dog jumping in the air with a frisbee in its mouth
203,zebras and birds in a field
204,a girl throwing a frisbee
205,zebras and gazelles are near the water
206,a herd of zebras in a field
207,a zebra walking on a dirt path
208,a horse running through the woods
209,a statue of a man riding a horse on a stone building
210,a person holding a bag of chips
211,a man surfing on the waves
212,a couple of people skiing down a slope
213,a pile of oranges
214,a group of oranges
215,a person skiing down a slope
216,a baseball player catching a ball
217,a couple of people on skis
218,a person riding a skateboard
219,a person skiing on the snow
220,a skier going down a slope
221,a group of people on a bike
222,a plate of food
223,a table with plates and bowls of food on it
224,a group of people on skis
225,a person eating a sandwich
226,a man doing a trick on a skateboard
227,a donut with sprinkles and a cup of coffee
228,a piece of meat on a cutting board next to a cup of coffee
229,a spoon in a bowl of food
230,a slice of cake on a plate
231,a person sleeping with cats
232,a bed with posters on the wall
233,a group of people sitting around a table with a birthday cake
234,a woman holding a cake
235,a couple of women holding a box with a cake on it
236,two women holding a picture
237,a man is water skiing
238,a group of people stand on a beach with surfboards
239,a pizza with cheese and mushrooms
240,a man playing tennis
241,a pizza with cheese and vegetables
242,a pizza in a pan
243,people sitting at a table with food
244,a man playing tennis
245,a living room with a couch and a coffee table
246,a man and a woman playing a video game
247,a person holding a video game controller
248,a desk with a laptop and a desktop computer on it
249,a living room with a tv and a table
250,a kite flying in the sky
251,a baseball player swinging a bat
252,a baseball player swinging a bat
253,a clock on a building
254,a person's legs with a tattoo on them
255,a glass of beer next to a laptop computer
256,"graphical user interface, application"
257,a person holding a phone
258,a person putting food in an oven
259,a girl holding a camera
260,a burger and salad on a table
261,a couple of children holding a stuffed animal
262,a woman sitting at a table
263,a kitchen counter with a towel and a hat on it
264,a laptop on a desk
265,a kitchen with white cabinets
266,a snake in a corner
267,a toilet with a bucket on the tank
268,a bathroom with a toilet sink and bathtub
269,a bathroom with a washing machine
270,a bathroom with a sink and a window
271,a black cat looking at a sink
272,a dog sticking its tongue out of a car window
273,a busy street with traffic
274,a toilet with a wooden handle
275,a toilet with a sink
276,a cat on a toilet
277,a black and white cat lying on a green blanket
278,a pile of oranges
279,a plane flying in the sky
280,an airplane flying over a tree
281,a plane flying over a tree
282,a bird on a giraffe
283,a plane flying over a city
284,a plane flying over a city
285,a giraffe bending down to drink water
286,a street light is red
287,a box of candy on a wood table
288,a car on a road
289,a large group of sheep are grazing
290,a couple of kids petting a lamb
291,a bird flying over a body of water
292,a person sitting on a boat
293,a clock on a horse statue
294,a person sitting on a bed
295,a train on the railway tracks
296,a bird sitting on a pole
297,a group of birds in a cage
298,a football with a flag on it
299,a person cutting a cake
