0,1,2
0,a dog laying on the floor next to a persons feet.,0.9181641340255737
1,a bird sitting on the ground in the woods.,0.9368767142295837
2,a glass bottle sitting on top of a table.,0.9424804449081421
3,a white car parked on the side of a body of water.,0.9967283606529236
4,a black and white bird standing in the grass.,0.9255996346473694
5,a bird sitting on top of a flower pot.,0.9828656911849976
6,a white bird flying over a lush green field.,0.9151750206947327
7,a sheep and a lamb standing in a field.,0.964249312877655
8,a woman sitting in a kitchen with long blonde hair.,0.8610220551490784
9,a wooden table with chairs and a plate on it.,0.9888373017311096
10,a couple of birds perched on a tree branch.,0.9770944714546204
11,a large church with a large clock tower in a city.,0.8546591997146606
12,a couple of horses sticking their heads out of a wooden barn.,0.9253531098365784
13,a couple of sheep grazing in a field of grass.,0.9632530212402344
14,a group of people playing in the water with a boogie board.,0.9702605605125427
15,a black and white couch with a lamp on a room.,0.9183324575424194
16,a brown and white cow standing on the side of a road.,0.9930688738822937
17,a group of wooden chairs sitting in a room.,0.9800952672958374
18,a group of people riding in a sled pulled by a dog.,0.9560069441795349
19,a living room with a green couch and a lamp.,0.9860460758209229
20,a cat sitting on a table next to a window.,0.9418277144432068
21,a subway train is stopped at a train station.,0.8777340054512024
22,a black chair sitting next to a red wall.,0.9478499293327332
23,a person sitting on a bench in front of a bench.,0.9619640707969666
24,a small boat in a body of water,0.944200873374939
25,a small white dog laying on a bed.,0.958351731300354
26,a brown cow grazing in a field of grass.,0.9961618185043335
27,a black cat laying on a couch.,0.9988372921943665
28,a living room with a couch and a table.,0.9984279274940491
29,a black and white photo of a train on the tracks.,0.9842901825904846
30,a close up of a brown and white cow standing in a field.,0.9324213862419128
31,a living room with green walls and a fireplace.,0.9992676377296448
32,a black motorcycle parked on the side of the street.,0.9684824347496033
33,a man holding a rifle in front of a train.,0.9518014192581177
34,a white dog standing in a field of grass.,0.9837937355041504
35,a school bus is driving down a street next to a fire hydrant.,0.941641092300415
36,a black and white dog laying under a table.,0.9731351733207703
37,a brown horse standing in front of a fence.,0.981609582901001
38,a cat laying on a blanket on a bed.,0.9753205180168152
39,a white bus driving down a street next to a truck.,0.9103906750679016
40,a close up of a bird with a red and black head.,0.8794577717781067
41,a black and white cat laying on a pillow.,0.9377708435058594
42,a bike parked next to a building with a window.,0.9214273691177368
