0,1
0,a dog laying on a rug in a room
1,a large body of water with trees in the background
2,a bottle of alcohol sitting on top of a wooden table
3,a car parked on the side of the road
4,a black and white bird standing in the grass
5,a small bird is standing on a ledge
6,a white bird flying over a green field
7,a couple of sheep are standing in a field
8,a little girl sitting at a kitchen table
9,a table that has some chairs on it
10,a bird is perched on a tree branch
11,a very tall building with a clock on it
12,a man standing in front of a barn
13,a sheep grazing in a field of grass
14,a group of people on a surfboard in the water
15,a room with a bed and a lamp
16,a brown and white cow standing on a road
17,a group of wooden chairs sitting next to each other
18,a group of people riding on a horse drawn carriage
19,a living room with a couch and a chair
20,a cat that is laying down on a desk
21,a silver toaster oven sitting on top of a counter
22,a chair with a cell phone sitting on top of it
23,a person sitting on a bench in a room
24,a small boat in a large body of water
25,a white dog is sitting on a bed
26,a brown cow grazing on grass in a field
27,a black cat is laying on a couch
28,a couple of birds sitting on top of a bed
29,a black and white photo of a train on a track
30,a close up of a cow in a field
31,a living room filled with furniture and a fire place
32,a black and silver motorcycle parked in a parking lot
33,a man standing next to a truck on a dirt field
34,a small white dog standing in a field
35,a school bus parked in a parking lot
36,a black and white dog laying on a rug
37,a brown horse standing next to a brown horse
38,a cat laying on a bed with a stuffed animal
39,a street sign on a pole with a sky background
40,a close up of a bird with its mouth open
41,a black and white cat sitting on a chair
42,a bike parked in front of a brick building
43,a sheep is grazing in a grassy field
44,a cat sitting on top of a bench
45,a small bird sitting on a tree branch
46,a dog is sleeping on a red blanket
47,a person on a skate board on a street
48,a large air plane on a run way
49,a couple of people standing in front of a house
50,a laptop computer sitting on top of a table
51,a red toy car sitting on a table
52,a man and a woman petting a horse
53,a motorcycle parked on the side of the road
54,a small model airplane sitting in a garage
55,a group of boats sitting in a warehouse
56,a cat laying on a bed in a room
57,a cat is sleeping on a couch
58,a brown horse standing in a field of grass
59,a motorcycle parked in front of a building
60,a small airplane flying over a runway
61,a large bird is standing on a table
62,a woman sitting at a table with a cake
63,a truck is parked in a parking lot
64,a group of buses parked in front of a building
65,a large jetliner sitting on top of an airport runway
66,a living room filled with furniture and a window
67,two black cows eating grass in a field
68,a snow covered ground with a lot of snow on it
69,a black and white cow grazing in a field
70,a cat sitting on a windowsill looking out the window
71,a large air plane on a run way
72,a man holding a bottle of wine and a bottle of wine
73,a flat screen tv sitting on top of a table
74,a black and white cat laying on a couch
75,a cow that is standing in the dirt
76,a yellow school bus parked on the side of a road
77,a train traveling down train tracks next to a building
78,a man and a woman sitting on a bench
79,a row of parked cars on a city street
80,a man is holding a toothbrush in his hand
81,a train traveling down train tracks near a train station
82,a white seagull flying over a body of water
83,a cat is looking out of a window
84,a man riding on the back of a brown horse
85,a man and a woman holding wine glasses
86,a man riding on the back of a white horse
87,a wooden bench sitting next to a tree
88,a bicycle is parked next to a chair
89,a couple of horses standing on top of a grass covered field
90,a couple of people that are sitting on a couch
91,a couple of dogs laying on a bed
92,a bike parked next to a blue and white building
93,a white cat laying on a red carpet
94,a man riding a motorcycle down a street
95,a bike parked next to a metal pole
96,a person riding a motorcycle on a track
97,a black cow standing on top of a grass covered field
98,a small bird sitting on a tree branch
99,a black and red train sitting on a train track
100,a double decker bus parked in a parking lot
101,a blue car parked in a parking lot
102,a person riding a motorcycle on a road
103,a dog sitting in the drivers seat of a car
104,a red and yellow train traveling down train tracks
105,a woman riding on the back of a brown horse
106,a small plane is hanging from the ceiling
107,a young child is sitting in a car with a backpack
108,a double decker bus is parked in a field
109,a potted plant sitting on a counter next to a potted plant
110,a man riding a wave on top of a surfboard
111,a couple of people standing next to each other
112,a double decker bus driving down a street
